"","game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1","1900_01_TeamKJ_TeamB",1,20549,-2.432727,57.486,7.29267
"2","1900_01_TeamKJ_TeamB",1,20582,-2.272266,53.2614,7.03062
"3","1900_01_TeamKJ_TeamB",1,20615,-2.125386,49.0848,6.75276
"4","1900_01_TeamKJ_TeamB",1,20648,-1.99209,44.9559,6.45918
"5","1900_01_TeamKJ_TeamB",1,20681,-1.872372,40.8753,6.14979
"6","1900_01_TeamKJ_TeamB",1,20714,-1.766235,36.8424,5.82465
"7","1900_01_TeamKJ_TeamB",1,20747,-1.673682,32.8575,5.48376
"8","1900_01_TeamKJ_TeamB",1,20780,-1.594707,28.92057,5.12706
"9","1900_01_TeamKJ_TeamB",1,20813,-1.529316,25.03158,4.75464
"10","1900_01_TeamKJ_TeamB",1,20846,-1.477503,21.19053,4.36641
"11","1900_01_TeamKJ_TeamB",1,20879,-1.439274,17.39742,3.96243
"12","1900_01_TeamKJ_TeamB",1,20912,-1.414626,13.65228,3.54267
"13","1900_01_TeamKJ_TeamB",1,20945,-1.403559,9.95508,3.10716
"14","1900_01_TeamKJ_TeamB",1,20978,-1.406073,6.30585,2.655858
"15","1900_01_TeamKJ_TeamB",1,21011,-1.422168,2.704566,2.1888
"16","1900_01_TeamKJ_TeamB",2,31738,-2.499087,54.9222,7.07235
"17","1900_01_TeamKJ_TeamB",2,31771,-2.287167,50.7039,6.89361
"18","1900_01_TeamKJ_TeamB",2,31804,-2.08287,46.5336,6.6996
"19","1900_01_TeamKJ_TeamB",2,31837,-1.886196,42.4119,6.49038
"20","1900_01_TeamKJ_TeamB",2,31870,-1.697145,38.3379,6.26589
"21","1900_01_TeamKJ_TeamB",2,31903,-1.515717,34.3125,6.02616
"22","1900_01_TeamKJ_TeamB",2,31936,-1.341912,30.3351,5.77116
"23","1900_01_TeamKJ_TeamB",2,31969,-1.17573,26.40591,5.50095
"24","1900_01_TeamKJ_TeamB",2,32002,-1.017171,22.52496,5.21547
"25","1900_01_TeamKJ_TeamB",2,32035,-0.866232,18.69219,4.91475
"26","1900_01_TeamKJ_TeamB",2,32068,-0.722919,14.90766,4.59876
"27","1900_01_TeamKJ_TeamB",2,32101,-0.587229,11.17131,4.26756
"28","1900_01_TeamKJ_TeamB",2,32134,-0.459159,7.4832,3.92109
"29","1900_01_TeamKJ_TeamB",2,32167,-0.338715,3.84327,3.55938
"30","1900_01_TeamKJ_TeamB",3,44049,-2.296383,53.6271,6.89523
"31","1900_01_TeamKJ_TeamB",3,44082,-1.986411,49.3608,6.60093
"32","1900_01_TeamKJ_TeamB",3,44115,-1.691166,45.1428,6.29112
"33","1900_01_TeamKJ_TeamB",3,44148,-1.410651,40.9731,5.9658
"34","1900_01_TeamKJ_TeamB",3,44181,-1.144863,36.8514,5.62497
"35","1900_01_TeamKJ_TeamB",3,44214,-0.893805,32.778,5.2686
"36","1900_01_TeamKJ_TeamB",3,44247,-0.657474,28.75281,4.89672
"37","1900_01_TeamKJ_TeamB",3,44280,-0.435873,24.77586,4.5093
"38","1900_01_TeamKJ_TeamB",3,44313,-0.2290008,20.84709,4.1064
"39","1900_01_TeamKJ_TeamB",3,44346,-0.0368565,16.96656,3.68793
"40","1900_01_TeamKJ_TeamB",3,44379,0.1405605,13.13418,3.25398
"41","1900_01_TeamKJ_TeamB",3,44412,0.303246,9.35007,2.804493
"42","1900_01_TeamKJ_TeamB",3,44445,0.451206,5.61414,2.339487
"43","1900_01_TeamKJ_TeamB",3,44478,0.584436,1.926435,1.858965
"44","1900_01_TeamKJ_TeamB",4,57449,-2.400975,54.9762,7.01529
"45","1900_01_TeamKJ_TeamB",4,57482,-2.129136,50.6298,6.87885
"46","1900_01_TeamKJ_TeamB",4,57515,-1.868676,46.3308,6.72999
"47","1900_01_TeamKJ_TeamB",4,57548,-1.619592,42.0789,6.56877
"48","1900_01_TeamKJ_TeamB",4,57581,-1.381887,37.8738,6.39516
