"","game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1","1900_05_TeamKK_TeamB",1,50193,-3.18642,57.5733,6.47544
"2","1900_05_TeamKK_TeamB",1,50226,-2.794923,53.2926,6.20265
"3","1900_05_TeamKK_TeamB",1,50259,-2.419467,49.0581,5.91666
"4","1900_05_TeamKK_TeamB",1,50292,-2.06004,44.8695,5.61747
"5","1900_05_TeamKK_TeamB",1,50325,-1.716639,40.7268,5.30514
"6","1900_05_TeamKK_TeamB",1,50358,-1.38927,36.63,4.97958
"7","1900_05_TeamKK_TeamB",1,50391,-1.07793,32.5791,4.64085
"8","1900_05_TeamKK_TeamB",1,50424,-0.782616,28.5744,4.28895
"9","1900_05_TeamKK_TeamB",1,50457,-0.503331,24.61551,3.92385
"10","1900_05_TeamKK_TeamB",1,50490,-0.2400753,20.70255,3.54558
"11","1900_05_TeamKK_TeamB",1,50523,0.00715257,16.83555,3.15411
"12","1900_05_TeamKK_TeamB",1,50556,0.2383521,13.01448,2.74944
"13","1900_05_TeamKK_TeamB",1,50589,0.453522,9.23937,2.3316
"14","1900_05_TeamKK_TeamB",1,50622,0.652665,5.51019,1.900575
"15","1900_05_TeamKK_TeamB",1,50655,0.835782,1.826976,1.456362
"16","1900_05_TeamKK_TeamB",2,60655,-3.06921,56.8167,6.54075
"17","1900_05_TeamKK_TeamB",2,60688,-2.774082,52.545,6.22236
"18","1900_05_TeamKK_TeamB",2,60721,-2.494161,48.321,5.89242
"19","1900_05_TeamKK_TeamB",2,60754,-2.229432,44.1444,5.55087
"20","1900_05_TeamKK_TeamB",2,60787,-1.979892,40.0155,5.19774
"21","1900_05_TeamKK_TeamB",2,60820,-1.745547,35.9337,4.83303
"22","1900_05_TeamKK_TeamB",2,60853,-1.526394,31.8996,4.45674
"23","1900_05_TeamKK_TeamB",2,60886,-1.32243,27.9132,4.06887
"24","1900_05_TeamKK_TeamB",2,60919,-1.133661,23.97417,3.66939
"25","1900_05_TeamKK_TeamB",2,60952,-0.960081,20.08263,3.25836
"26","1900_05_TeamKK_TeamB",2,60985,-0.801696,16.23861,2.835735
"27","1900_05_TeamKK_TeamB",2,61019,-0.654396,12.32775,2.388189
"28","1900_05_TeamKK_TeamB",2,61052,-0.526854,8.58015,1.942047
"29","1900_05_TeamKK_TeamB",2,61085,-0.414504,4.88007,1.484325
"30","1900_05_TeamKK_TeamB",2,61118,-0.317346,1.227513,1.015017
"31","1900_05_TeamKK_TeamB",3,71448,-2.995692,55.4028,6.50391
"32","1900_05_TeamKK_TeamB",3,71481,-2.632626,51.1392,6.31851
"33","1900_05_TeamKK_TeamB",3,71514,-2.282709,46.9179,6.1203
"34","1900_05_TeamKK_TeamB",3,71547,-1.945944,42.7389,5.90934
"35","1900_05_TeamKK_TeamB",3,71580,-1.622325,38.6025,5.6856
"36","1900_05_TeamKK_TeamB",3,71613,-1.311855,34.5084,5.44911
"37","1900_05_TeamKK_TeamB",3,71646,-1.014534,30.4569,5.19984
"38","1900_05_TeamKK_TeamB",3,71679,-0.730362,26.44779,4.93779
"39","1900_05_TeamKK_TeamB",3,71712,-0.459339,22.48116,4.66299
"40","1900_05_TeamKK_TeamB",3,71745,-0.201465,18.55695,4.37541
"41","1900_05_TeamKK_TeamB",3,71778,0.0432606,14.67519,4.07508
"42","1900_05_TeamKK_TeamB",3,71811,0.2748375,10.83588,3.76194
"43","1900_05_TeamKK_TeamB",3,71844,0.493266,7.03902,3.43608
"44","1900_05_TeamKK_TeamB",3,71877,0.698544,3.28461,3.09741
"45","1900_05_TeamKK_TeamB",4,86069,-2.826753,55.5816,6.41502
"46","1900_05_TeamKK_TeamB",4,86102,-2.576343,51.3558,6.24738
"47","1900_05_TeamKK_TeamB",4,86135,-2.302851,47.1747,6.05133
"48","1900_05_TeamKK_TeamB",4,86168,-2.00628,43.0389,5.8269
"49","1900_05_TeamKK_TeamB",4,86201,-1.68663,38.9478,5.57409
