"","game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1","1900_07_TeamKL_TeamB",1,45875,2.40462,56.8515,6.70362
"2","1900_07_TeamKL_TeamB",1,45908,2.188212,52.5858,6.47325
"3","1900_07_TeamKL_TeamB",1,45941,1.979802,48.3624,6.23865
"4","1900_07_TeamKL_TeamB",1,45974,1.77939,44.1813,5.99979
"5","1900_07_TeamKL_TeamB",1,46007,1.58697,40.0425,5.75667
"6","1900_07_TeamKL_TeamB",1,46040,1.402548,35.9463,5.50932
"7","1900_07_TeamKL_TeamB",1,46073,1.226124,31.8924,5.25771
"8","1900_07_TeamKL_TeamB",1,46106,1.057695,27.88071,5.00187
"9","1900_07_TeamKL_TeamB",1,46139,0.897261,23.91147,4.74177
"10","1900_07_TeamKL_TeamB",1,46172,0.744825,19.98459,4.47741
"11","1900_07_TeamKL_TeamB",1,46205,0.600384,16.1001,4.20879
"12","1900_07_TeamKL_TeamB",1,46238,0.463941,12.25794,3.93594
"13","1900_07_TeamKL_TeamB",1,46271,0.335493,8.45817,3.65883
"14","1900_07_TeamKL_TeamB",1,46304,0.2150421,4.70076,3.37749
"15","1900_07_TeamKL_TeamB",2,57064,2.293545,57.0402,6.75642
"16","1900_07_TeamKL_TeamB",2,57097,2.004042,52.7931,6.57285
"17","1900_07_TeamKL_TeamB",2,57130,1.723692,48.5898,6.38394
"18","1900_07_TeamKL_TeamB",2,57163,1.452495,44.4297,6.18972
"19","1900_07_TeamKL_TeamB",2,57196,1.190448,40.3134,5.99016
"20","1900_07_TeamKL_TeamB",2,57229,0.937557,36.2406,5.78529
"21","1900_07_TeamKL_TeamB",2,57262,0.693813,32.211,5.57508
"22","1900_07_TeamKL_TeamB",2,57295,0.459225,28.2252,5.35956
"23","1900_07_TeamKL_TeamB",2,57328,0.2337873,24.28287,5.1387
"24","1900_07_TeamKL_TeamB",2,57361,0.01750209,20.38404,4.91253
"25","1900_07_TeamKL_TeamB",2,57394,-0.1896312,16.52871,4.68102
"26","1900_07_TeamKL_TeamB",2,57427,-0.387612,12.71694,4.44417
"27","1900_07_TeamKL_TeamB",2,57460,-0.576441,8.94867,4.20201
"28","1900_07_TeamKL_TeamB",2,57493,-0.756117,5.22393,3.95451
"29","1900_07_TeamKL_TeamB",2,57526,-0.926643,1.542711,3.7017
"30","1900_07_TeamKL_TeamB",3,69209,2.298918,55.1526,6.39588
"31","1900_07_TeamKL_TeamB",3,69242,2.098344,51.3747,6.23031
"32","1900_07_TeamKL_TeamB",3,69275,1.908507,47.6346,6.04176
"33","1900_07_TeamKL_TeamB",3,69308,1.729407,43.9323,5.8302
"34","1900_07_TeamKL_TeamB",3,69341,1.561044,40.2681,5.59566
"35","1900_07_TeamKL_TeamB",3,69374,1.403418,36.6414,5.33811
"36","1900_07_TeamKL_TeamB",3,69407,1.256526,33.0528,5.05758
"37","1900_07_TeamKL_TeamB",3,69440,1.120371,29.50206,4.75407
"38","1900_07_TeamKL_TeamB",3,69473,0.99495,25.98909,4.42755
"39","1900_07_TeamKL_TeamB",3,69506,0.880266,22.51395,4.07805
"40","1900_07_TeamKL_TeamB",3,69539,0.776319,19.0767,3.70554
"41","1900_07_TeamKL_TeamB",3,69572,0.683109,15.67728,3.31008
"42","1900_07_TeamKL_TeamB",3,69606,0.598302,12.21441,2.878551
"43","1900_07_TeamKL_TeamB",3,69639,0.52689,8.89182,2.436384
"44","1900_07_TeamKL_TeamB",3,69672,0.466212,5.60709,1.971228
"45","1900_07_TeamKL_TeamB",3,69705,0.416271,2.360202,1.48308
"46","1900_07_TeamKL_TeamB",4,83369,2.314143,55.9272,6.51294
"47","1900_07_TeamKL_TeamB",4,83402,2.163432,52.1856,6.28881
"48","1900_07_TeamKL_TeamB",4,83435,2.020092,48.4761,6.04809
"49","1900_07_TeamKL_TeamB",4,83468,1.884132,44.7987,5.79081
"50","1900_07_TeamKL_TeamB",4,83501,1.755549,41.1531,5.51697
"51","1900_07_TeamKL_TeamB",4,83534,1.634343,37.5396,5.22654
"52","1900_07_TeamKL_TeamB",4,83567,1.520511,33.9582,4.91958
"53","1900_07_TeamKL_TeamB",4,83600,1.414056,30.4086,4.59606
"54","1900_07_TeamKL_TeamB",4,83633,1.314981,26.89107,4.25598
"55","1900_07_TeamKL_TeamB",4,83666,1.22328,23.40558,3.89931
"56","1900_07_TeamKL_TeamB",4,83699,1.138956,19.95207,3.52611
"57","1900_07_TeamKL_TeamB",4,83732,1.062009,16.53057,3.13632
"58","1900_07_TeamKL_TeamB",4,83765,0.992436,13.14108,2.729982
"59","1900_07_TeamKL_TeamB",4,83798,0.930243,9.78357,2.307078
"60","1900_07_TeamKL_TeamB",4,83831,0.875427,6.4581,1.867614
"61","1900_07_TeamKL_TeamB",4,83864,0.827985,3.16458,1.411587
"62","1900_07_TeamKL_TeamB",5,101620,2.395722,54.4605,6.23256
"63","1900_07_TeamKL_TeamB",5,101653,2.221833,50.7504,6.17721
"64","1900_07_TeamKL_TeamB",5,101686,2.055867,47.076,6.09531
"65","1900_07_TeamKL_TeamB",5,101719,1.897827,43.4373,5.98686
"66","1900_07_TeamKL_TeamB",5,101752,1.747707,39.8337,5.85189
"67","1900_07_TeamKL_TeamB",5,101785,1.605513,36.2658,5.69037
"68","1900_07_TeamKL_TeamB",5,101818,1.471242,32.733,5.5023
"69","1900_07_TeamKL_TeamB",5,101851,1.344897,29.23602,5.28768
"70","1900_07_TeamKL_TeamB",5,101884,1.226475,25.77435,5.04651
"71","1900_07_TeamKL_TeamB",5,101917,1.115976,22.34817,4.77882
"72","1900_07_TeamKL_TeamB",5,101950,1.0134,18.95742,4.48458
"73","1900_07_TeamKL_TeamB",5,101983,0.91875,15.60213,4.16379
"74","1900_07_TeamKL_TeamB",5,102016,0.832023,12.2823,3.81648
"75","1900_07_TeamKL_TeamB",5,102049,0.753219,8.99793,3.44262
"76","1900_07_TeamKL_TeamB",5,102082,0.682341,5.74902,3.04221
"77","1900_07_TeamKL_TeamB",5,102115,0.619386,2.535549,2.61525
"78","1900_07_TeamKL_TeamB",6,129906,2.382177,54.5769,6.43104
"79","1900_07_TeamKL_TeamB",6,129939,2.279448,50.2773,6.17451
"80","1900_07_TeamKL_TeamB",6,129972,2.186457,46.0248,5.9049
"81","1900_07_TeamKL_TeamB",6,130005,2.103204,41.8194,5.62218
"82","1900_07_TeamKL_TeamB",6,130038,2.029689,37.6608,5.32641
"83","1900_07_TeamKL_TeamB",6,130071,1.965912,33.5493,5.01753
"84","1900_07_TeamKL_TeamB",6,130104,1.911876,29.4849,4.69554
"85","1900_07_TeamKL_TeamB",6,130137,1.867575,25.46748,4.3605
"86","1900_07_TeamKL_TeamB",6,130170,1.833015,21.4971,4.01235
"87","1900_07_TeamKL_TeamB",6,130203,1.808193,17.57373,3.65112
"88","1900_07_TeamKL_TeamB",6,130236,1.793112,13.69737,3.27678
