"","game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1","1901_12_TeamLJ_TeamB",1,25564,1.578546,55.662,5.85198
"2","1901_12_TeamLJ_TeamB",1,25614,1.309191,49.2363,5.62596
"3","1901_12_TeamLJ_TeamB",1,25664,1.048425,42.8325,5.33094
"4","1901_12_TeamLJ_TeamB",1,25714,0.796245,36.4503,4.96689
"5","1901_12_TeamLJ_TeamB",1,25764,0.552654,30.0897,4.53384
"6","1901_12_TeamLJ_TeamB",1,25814,0.317646,23.75094,4.03179
"7","1901_12_TeamLJ_TeamB",1,25864,0.0912297,17.43381,3.46071
"8","1901_12_TeamLJ_TeamB",1,25914,-0.1266006,11.1384,2.820645
"9","1901_12_TeamLJ_TeamB",1,25964,-0.335844,4.86468,2.111568
"10","1901_12_TeamLJ_TeamB",1,26014,-0.536499,-1.387344,1.333485
"11","1901_12_TeamLJ_TeamB",1,26064,-0.728571,-7.61769,0.486393
"12","1901_12_TeamLJ_TeamB",2,35564,1.531338,56.3772,5.81508
"13","1901_12_TeamLJ_TeamB",2,35614,1.331424,49.8387,5.61636
"14","1901_12_TeamLJ_TeamB",2,35664,1.13853,43.3374,5.34525
"15","1901_12_TeamLJ_TeamB",2,35714,0.952653,36.8736,5.00175
"16","1901_12_TeamLJ_TeamB",2,35764,0.773793,30.4473,4.58586
"17","1901_12_TeamLJ_TeamB",2,35814,0.601953,24.05826,4.09761
"18","1901_12_TeamLJ_TeamB",2,35864,0.437133,17.70678,3.53697
"19","1901_12_TeamLJ_TeamB",2,35914,0.2793291,11.39274,2.903925
"20","1901_12_TeamLJ_TeamB",2,35964,0.1285446,5.11611,2.198511
"21","1901_12_TeamLJ_TeamB",2,36014,-0.0152214,-1.12308,1.42071
"22","1901_12_TeamLJ_TeamB",2,36064,-0.1519695,-7.32486,0.570522
"23","1901_12_TeamLJ_TeamB",3,50364,1.718016,52.7688,5.9181
"24","1901_12_TeamLJ_TeamB",3,50414,1.336995,46.0521,5.94432
"25","1901_12_TeamLJ_TeamB",3,50464,0.988233,39.399,5.91633
"26","1901_12_TeamLJ_TeamB",3,50514,0.671739,32.8095,5.83419
"27","1901_12_TeamLJ_TeamB",3,50564,0.387507,26.28345,5.69784
"28","1901_12_TeamLJ_TeamB",3,50614,0.1355379,19.821,5.50728
"29","1901_12_TeamLJ_TeamB",3,50664,-0.0841659,13.42215,5.26257
"30","1901_12_TeamLJ_TeamB",3,50714,-0.2716059,7.08684,4.96365
"31","1901_12_TeamLJ_TeamB",3,50764,-0.426783,0.815079,4.61055
"32","1901_12_TeamLJ_TeamB",3,50814,-0.549696,-5.39313,4.20327
"33","1901_12_TeamLJ_TeamB",4,61814,1.836321,57.0651,5.56446
"34","1901_12_TeamLJ_TeamB",4,61864,1.661616,50.2512,5.50707
"35","1901_12_TeamLJ_TeamB",4,61914,1.502946,43.4928,5.38428
"36","1901_12_TeamLJ_TeamB",4,61964,1.36032,36.7902,5.19609
"37","1901_12_TeamLJ_TeamB",4,62014,1.233732,30.1434,4.94256
"38","1901_12_TeamLJ_TeamB",4,62064,1.123185,23.5521,4.62366
"39","1901_12_TeamLJ_TeamB",4,62114,1.028679,17.01657,4.23936
"40","1901_12_TeamLJ_TeamB",4,62164,0.950211,10.53675,3.78969
"41","1901_12_TeamLJ_TeamB",4,62214,0.887787,4.11261,3.27465
"42","1901_12_TeamLJ_TeamB",4,62264,0.841401,-2.25585,2.694249
"43","1901_12_TeamLJ_TeamB",5,73514,1.488633,51.2994,5.59275
"44","1901_12_TeamLJ_TeamB",5,73564,1.244619,44.6346,5.47104
"45","1901_12_TeamLJ_TeamB",5,73614,1.002933,38.0223,5.28471
"46","1901_12_TeamLJ_TeamB",5,73664,0.763566,31.4622,5.03376
"47","1901_12_TeamLJ_TeamB",5,73714,0.526524,24.95412,4.71819
"48","1901_12_TeamLJ_TeamB",5,73764,0.2918052,18.49845,4.33803
"49","1901_12_TeamLJ_TeamB",5,73814,0.0594078,12.09504,3.89325
"50","1901_12_TeamLJ_TeamB",5,73864,-0.1706658,5.74389,3.38385
"51","1901_12_TeamLJ_TeamB",5,73914,-0.398415,-0.554964,2.80986
"52","1901_12_TeamLJ_TeamB",5,73964,-0.623844,-6.80157,2.171247
"53","1901_12_TeamLJ_TeamB",6,102814,1.538802,55.3752,5.72049
"54","1901_12_TeamLJ_TeamB",6,102864,1.205361,48.8142,5.43561
"55","1901_12_TeamLJ_TeamB",6,102914,0.876015,42.2817,5.08464
"56","1901_12_TeamLJ_TeamB",6,102964,0.550761,35.778,4.66755
"57","1901_12_TeamLJ_TeamB",6,103014,0.2295999,29.3025,4.18437
"58","1901_12_TeamLJ_TeamB",6,103064,-0.0874689,22.85556,3.63507
"59","1901_12_TeamLJ_TeamB",6,103114,-0.400443,16.43715,3.01971
"60","1901_12_TeamLJ_TeamB",6,103164,-0.709323,10.04724,2.338203
"61","1901_12_TeamLJ_TeamB",6,103214,-1.014111,3.68583,1.590609
"62","1901_12_TeamLJ_TeamB",6,103264,-1.314804,-2.647089,0.776913
"63","1901_12_TeamLJ_TeamB",7,113464,1.766016,57.2274,5.65791
"64","1901_12_TeamLJ_TeamB",7,113514,1.384929,50.6184,5.56233
"65","1901_12_TeamLJ_TeamB",7,113564,1.006323,44.0394,5.39373
"66","1901_12_TeamLJ_TeamB",7,113614,0.630195,37.4901,5.15211
"67","1901_12_TeamLJ_TeamB",7,113664,0.2565474,30.9705,4.83747
"68","1901_12_TeamLJ_TeamB",7,113714,-0.1146207,24.48102,4.44981
"69","1901_12_TeamLJ_TeamB",7,113764,-0.483309,18.02124,3.9891
"70","1901_12_TeamLJ_TeamB",7,113814,-0.849522,11.59125,3.4554
"71","1901_12_TeamLJ_TeamB",7,113864,-1.213251,5.19111,2.848677
"72","1901_12_TeamLJ_TeamB",7,113914,-1.574502,-1.179192,2.168928
"73","1901_12_TeamLJ_TeamB",7,113964,-1.5831,9.32289,6.1416
"74","1901_12_TeamLJ_TeamB",7,114014,-1.848279,12.32298,8.70414
"75","1901_12_TeamLJ_TeamB",7,114064,-2.10459,15.31089,11.18286
