"","game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1","1901_13_TeamLL_TeamB",1,41426,2.350311,52.386,6.29949
"2","1901_13_TeamLL_TeamB",1,41476,2.099511,45.9348,5.85405
"3","1901_13_TeamLL_TeamB",1,41526,1.846008,39.5094,5.35896
"4","1901_13_TeamLL_TeamB",1,41576,1.589805,33.1098,4.81419
"5","1901_13_TeamLL_TeamB",1,41626,1.330896,26.73561,4.21971
"6","1901_13_TeamLL_TeamB",1,41676,1.06929,20.38734,3.57558
"7","1901_13_TeamLL_TeamB",1,41726,0.804978,14.06478,2.881761
"8","1901_13_TeamLL_TeamB",1,41776,0.537969,7.76796,2.138265
"9","1901_13_TeamLL_TeamB",1,41826,0.2682549,1.496868,1.345089
"10","1901_13_TeamLL_TeamB",1,41876,-0.00416115,-4.74852,0.50223
"11","1901_13_TeamLL_TeamB",2,55076,2.53854,51.5253,6.08298
"12","1901_13_TeamLL_TeamB",2,55126,2.12643,45.0492,5.78769
"13","1901_13_TeamLL_TeamB",2,55176,1.725495,38.619,5.43111
"14","1901_13_TeamLL_TeamB",2,55226,1.335735,32.2344,5.01318
"15","1901_13_TeamLL_TeamB",2,55276,0.95715,25.896,4.53393
"16","1901_13_TeamLL_TeamB",2,55326,0.589737,19.60335,3.99333
"17","1901_13_TeamLL_TeamB",2,55376,0.2334939,13.35657,3.39144
"18","1901_13_TeamLL_TeamB",2,55426,-0.1115727,7.15569,2.7282
"19","1901_13_TeamLL_TeamB",2,55476,-0.445467,1.000677,2.00364
"20","1901_13_TeamLL_TeamB",2,55526,-0.768186,-5.10846,1.217754
"21","1901_13_TeamLL_TeamB",3,69125,2.70516,54.9837,6.43266
"22","1901_13_TeamLL_TeamB",3,69175,2.240778,48.3141,6.21219
"23","1901_13_TeamLL_TeamB",3,69225,1.802616,41.7132,5.9412
"24","1901_13_TeamLL_TeamB",3,69275,1.390662,35.1807,5.61969
"25","1901_13_TeamLL_TeamB",3,69325,1.004925,28.7166,5.24769
"26","1901_13_TeamLL_TeamB",3,69375,0.645399,22.32105,4.8252
"27","1901_13_TeamLL_TeamB",3,69425,0.312084,15.99399,4.35219
"28","1901_13_TeamLL_TeamB",3,69475,0.00498354,9.73542,3.82866
"29","1901_13_TeamLL_TeamB",3,69525,-0.275904,3.54537,3.25464
"30","1901_13_TeamLL_TeamB",3,69575,-0.53058,-2.576223,2.630112
"31","1901_13_TeamLL_TeamB",4,90525,2.383644,55.953,6.18936
"32","1901_13_TeamLL_TeamB",4,90575,1.933053,49.3014,6.01086
"33","1901_13_TeamLL_TeamB",4,90625,1.487271,42.6732,5.76267
"34","1901_13_TeamLL_TeamB",4,90675,1.046301,36.0678,5.44482
"35","1901_13_TeamLL_TeamB",4,90725,0.610146,29.48598,5.05731
"36","1901_13_TeamLL_TeamB",4,90775,0.1788015,22.92723,4.60011
"37","1901_13_TeamLL_TeamB",4,90825,-0.2477307,16.3917,4.07325
"38","1901_13_TeamLL_TeamB",4,90875,-0.66945,9.87936,3.47673
"39","1901_13_TeamLL_TeamB",4,90925,-1.08636,3.39018,2.810517
"40","1901_13_TeamLL_TeamB",5,110575,2.581224,56.1987,6.56355
"41","1901_13_TeamLL_TeamB",5,110625,2.292882,50.6253,6.66909
"42","1901_13_TeamLL_TeamB",5,110675,1.996857,45.0975,6.67731
"43","1901_13_TeamLL_TeamB",5,110725,1.693149,39.6159,6.58821
"44","1901_13_TeamLL_TeamB",5,110775,1.381758,34.1805,6.40179
"45","1901_13_TeamLL_TeamB",5,110825,1.062687,28.79079,6.11808
"46","1901_13_TeamLL_TeamB",5,110875,0.735933,23.44722,5.73702
"47","1901_13_TeamLL_TeamB",5,110925,0.401493,18.14964,5.25867
"48","1901_13_TeamLL_TeamB",5,110975,0.0593733,12.89811,4.68297
"49","1901_13_TeamLL_TeamB",5,111025,-0.2904288,7.69257,4.00998
"50","1901_13_TeamLL_TeamB",5,111075,-0.647913,2.53305,3.23967
"51","1901_13_TeamLL_TeamB",5,111125,0.626547,7.1601,0.05775
"52","1901_13_TeamLL_TeamB",5,111175,2.1129,12.9036,0.1155
"53","1901_13_TeamLL_TeamB",5,111225,3.99633,17.72913,2.096883
"54","1901_13_TeamLL_TeamB",5,111275,5.61447,21.53196,3.26823
"55","1901_13_TeamLL_TeamB",5,111325,7.2186,25.31016,4.33077
"56","1901_13_TeamLL_TeamB",5,111375,8.80869,29.06376,5.28447
"57","1901_13_TeamLL_TeamB",5,111425,10.38471,32.7927,6.12936
"58","1901_13_TeamLL_TeamB",5,111475,11.94672,36.4971,6.86541
"59","1901_13_TeamLL_TeamB",5,111525,13.49466,40.1769,7.49262
"60","1901_13_TeamLL_TeamB",5,111575,15.02859,43.8321,8.01105
"61","1901_13_TeamLL_TeamB",5,111625,16.54845,47.4627,8.42061
"62","1901_13_TeamLL_TeamB",5,111675,18.05427,51.0687,8.72136
"63","1901_13_TeamLL_TeamB",5,111725,19.54605,54.6501,8.9133
"64","1901_13_TeamLL_TeamB",5,111775,21.02379,58.2069,8.9964
"65","1901_13_TeamLL_TeamB",5,111825,22.48749,61.7391,8.97069
"66","1901_13_TeamLL_TeamB",5,111875,23.93715,65.2467,8.83614
"67","1901_13_TeamLL_TeamB",5,111925,25.37277,68.7297,8.59278
"68","1901_13_TeamLL_TeamB",5,111975,26.79435,72.1878,8.24058
"69","1901_13_TeamLL_TeamB",5,112025,28.20186,75.6216,7.77957
"70","1901_13_TeamLL_TeamB",5,112075,29.59536,79.0308,7.20972
"71","1901_13_TeamLL_TeamB",5,112125,30.9747,82.4154,6.53103
"72","1901_13_TeamLL_TeamB",5,112175,32.3403,85.7754,5.74356
"73","1901_13_TeamLL_TeamB",5,112225,33.6915,89.1105,4.84722
"74","1901_13_TeamLL_TeamB",5,112275,35.0289,92.4213,3.84207
"75","1901_13_TeamLL_TeamB",5,112325,36.3522,95.7075,2.728116
"76","1901_13_TeamLL_TeamB",5,112375,37.6614,98.9691,1.505325
"77","1901_13_TeamLL_TeamB",5,112425,38.9565,102.2058,0.1737
"78","1901_13_TeamLL_TeamB",5,112475,39.9999,104.7435,0.10746
"79","1901_13_TeamLL_TeamB",5,112525,41.0688,107.5638,0.09552
"80","1901_13_TeamLL_TeamB",5,112575,42.138,110.3838,0.08358
"81","1901_13_TeamLL_TeamB",5,112625,43.2069,113.2038,0.07164
"82","1901_13_TeamLL_TeamB",5,112675,44.2761,116.0238,0.0597
"83","1901_13_TeamLL_TeamB",5,112725,45.3453,118.8441,0.04776
"84","1901_13_TeamLL_TeamB",5,112775,46.4142,121.6641,0.03582
"85","1901_13_TeamLL_TeamB",5,112825,47.4834,124.4841,0.02388003
"86","1901_13_TeamLL_TeamB",5,112875,48.5523,127.3044,0.01194006
"87","1901_13_TeamLL_TeamB",5,112925,49.6215,130.1244,0
"88","1901_13_TeamLL_TeamB",5,114125,53.0418,119.5203,5.87355
"89","1901_13_TeamLL_TeamB",5,114175,53.6238,116.4453,6.45867
"90","1901_13_TeamLL_TeamB",5,114225,54.1953,113.3904,6.96477
"91","1901_13_TeamLL_TeamB",5,114275,54.7566,110.3559,7.39188
"92","1901_13_TeamLL_TeamB",5,114325,55.3074,107.3415,7.73997
"93","1901_13_TeamLL_TeamB",5,114375,55.8477,104.3478,8.00904
"94","1901_13_TeamLL_TeamB",5,114425,56.3775,101.3742,8.19912
"95","1901_13_TeamLL_TeamB",5,114475,56.8971,98.421,8.31018
"96","1901_13_TeamLL_TeamB",5,114525,57.4062,95.4882,8.34222
"97","1901_13_TeamLL_TeamB",5,114575,57.9051,92.5758,8.29524
"98","1901_13_TeamLL_TeamB",5,114625,58.3932,89.6835,8.16927
"99","1901_13_TeamLL_TeamB",5,114675,58.8711,86.8119,7.96428
"100","1901_13_TeamLL_TeamB",5,114725,59.3385,83.9604,7.68027
"101","1901_13_TeamLL_TeamB",5,114775,59.7957,81.1293,7.31727
"102","1901_13_TeamLL_TeamB",5,114825,60.2424,78.3183,6.87522
"103","1901_13_TeamLL_TeamB",5,114875,60.6786,75.528,6.35418
"104","1901_13_TeamLL_TeamB",5,114925,61.1043,72.7578,5.75415
"105","1901_13_TeamLL_TeamB",5,114975,61.5198,70.008,5.07507
"106","1901_13_TeamLL_TeamB",5,115025,61.9245,67.2786,4.317
"107","1901_13_TeamLL_TeamB",5,115075,62.3193,64.5696,3.47991
"108","1901_13_TeamLL_TeamB",6,143475,2.465298,52.4496,6.20994
"109","1901_13_TeamLL_TeamB",6,143525,2.157012,45.9105,5.98515
"110","1901_13_TeamLL_TeamB",6,143575,1.855116,39.4074,5.70174
"111","1901_13_TeamLL_TeamB",6,143625,1.559607,32.9406,5.35971
"112","1901_13_TeamLL_TeamB",6,143675,1.270482,26.51004,4.95903
"113","1901_13_TeamLL_TeamB",6,143725,0.987747,20.11578,4.49973
"114","1901_13_TeamLL_TeamB",6,143775,0.711402,13.75779,3.98181
"115","1901_13_TeamLL_TeamB",6,143825,0.441441,7.43607,3.40527
"116","1901_13_TeamLL_TeamB",6,143875,0.1778688,1.150587,2.77008
"117","1901_13_TeamLL_TeamB",6,143925,-0.079317,-5.09865,2.076273
"118","1901_13_TeamLL_TeamB",7,156525,2.583174,52.359,6.34683
"119","1901_13_TeamLL_TeamB",7,156575,2.300601,45.8094,6.12171
"120","1901_13_TeamLL_TeamB",7,156625,2.050449,39.3198,5.84025
"121","1901_13_TeamLL_TeamB",7,156675,1.832718,32.8899,5.50248
