"","game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1","1901_18_TeamLH_TeamA3",1,55653,-1.737153,53.457,6.92904
"2","1901_18_TeamLH_TeamA3",1,55703,-1.2822,46.9614,6.53094
"3","1901_18_TeamLH_TeamA3",1,55753,-0.869631,40.5186,6.12177
"4","1901_18_TeamLH_TeamA3",1,55803,-0.49944,34.1289,5.70156
"5","1901_18_TeamLH_TeamA3",1,55853,-0.1716282,27.7923,5.27031
"6","1901_18_TeamLH_TeamA3",1,55903,0.1138044,21.50859,4.82802
"7","1901_18_TeamLH_TeamA3",1,55953,0.356859,15.27786,4.37469
"8","1901_18_TeamLH_TeamA3",1,56003,0.557532,9.10014,3.91032
"9","1901_18_TeamLH_TeamA3",1,56053,0.715827,2.9754,3.43488
"10","1901_18_TeamLH_TeamA3",1,56103,0.831741,-3.09636,2.948424
"11","1901_18_TeamLH_TeamA3",2,73503,-1.25898,51.6831,6.54834
"12","1901_18_TeamLH_TeamA3",2,73553,-1.030734,45.3405,6.36075
"13","1901_18_TeamLH_TeamA3",2,73603,-0.805515,39.0336,6.10863
"14","1901_18_TeamLH_TeamA3",2,73653,-0.583329,32.7633,5.79204
"15","1901_18_TeamLH_TeamA3",2,73703,-0.364167,26.5287,5.41095
"16","1901_18_TeamLH_TeamA3",2,73753,-0.1480353,20.3304,4.96539
"17","1901_18_TeamLH_TeamA3",2,73803,0.0650679,14.16819,4.45533
"18","1901_18_TeamLH_TeamA3",2,73853,0.2751423,8.0421,3.88077
"19","1901_18_TeamLH_TeamA3",2,73903,0.482187,1.952139,3.24171
"20","1901_18_TeamLH_TeamA3",2,73953,0.686208,-4.10175,2.538165
"21","1901_18_TeamLH_TeamA3",2,74003,0.887196,-10.11948,1.770129
"22","1901_18_TeamLH_TeamA3",3,93403,-1.452222,56.5917,6.71103
"23","1901_18_TeamLH_TeamA3",3,93453,-1.41774,50.6142,6.62514
"24","1901_18_TeamLH_TeamA3",3,93503,-1.373484,44.7168,6.47196
"25","1901_18_TeamLH_TeamA3",3,93553,-1.319454,38.8995,6.25152
"26","1901_18_TeamLH_TeamA3",3,93603,-1.25565,33.162,5.96376
"27","1901_18_TeamLH_TeamA3",3,93653,-1.182069,27.50499,5.60874
"28","1901_18_TeamLH_TeamA3",3,93703,-1.098717,21.9279,5.18643
"29","1901_18_TeamLH_TeamA3",3,93753,-1.005588,16.43094,4.69686
"30","1901_18_TeamLH_TeamA3",3,93803,-0.902688,11.01408,4.13997
"31","1901_18_TeamLH_TeamA3",3,93853,-0.790011,5.67729,3.51582
"32","1901_18_TeamLH_TeamA3",3,93903,-0.66756,0.420618,2.824377
"33","1901_18_TeamLH_TeamA3",4,111603,-1.310823,54.7596,6.60588
"34","1901_18_TeamLH_TeamA3",4,111653,-1.077753,48.4422,6.40089
"35","1901_18_TeamLH_TeamA3",4,111703,-0.844395,42.141,6.13863
"36","1901_18_TeamLH_TeamA3",4,111753,-0.610752,35.8569,5.81916
"37","1901_18_TeamLH_TeamA3",4,111803,-0.376818,29.58915,5.44242
"38","1901_18_TeamLH_TeamA3",4,111853,-0.1426008,23.33808,5.00847
"39","1901_18_TeamLH_TeamA3",4,111903,0.091905,17.1036,4.51725
"40","1901_18_TeamLH_TeamA3",4,111953,0.3267,10.88568,3.96882
"41","1901_18_TeamLH_TeamA3",4,112003,0.56178,4.68441,3.36315
"42","1901_18_TeamLH_TeamA3",4,112053,0.797145,-1.500249,2.700219
"43","1901_18_TeamLH_TeamA3",5,137203,-1.302441,52.6425,6.54621
"44","1901_18_TeamLH_TeamA3",5,137253,-1.098522,46.8699,6.1638
"45","1901_18_TeamLH_TeamA3",5,137303,-0.923853,41.1585,5.69346
"46","1901_18_TeamLH_TeamA3",5,137353,-0.778434,35.508,5.13525
"47","1901_18_TeamLH_TeamA3",5,137403,-0.662265,29.91858,4.48914
"48","1901_18_TeamLH_TeamA3",5,137453,-0.575343,24.39024,3.75513
"49","1901_18_TeamLH_TeamA3",5,137503,-0.517671,18.92298,2.933241
"50","1901_18_TeamLH_TeamA3",5,137553,-0.489249,13.5168,2.023449
"51","1901_18_TeamLH_TeamA3",5,137603,-0.490077,8.17167,1.025763
"52","1901_18_TeamLH_TeamA3",5,137653,-0.520155,2.88762,-0.0598185
"53","1901_18_TeamLH_TeamA3",5,137703,-0.57948,-2.335395,-1.2333
"54","1901_18_TeamLH_TeamA3",5,137753,0.4191,-6.2658,0
"55","1901_18_TeamLH_TeamA3",6,161203,-1.274733,52.3662,6.58314
"56","1901_18_TeamLH_TeamA3",6,161253,-1.055763,45.8748,6.4839
"57","1901_18_TeamLH_TeamA3",6,161303,-0.836772,39.4314,6.31992
"58","1901_18_TeamLH_TeamA3",6,161353,-0.617763,33.0363,6.09114
"59","1901_18_TeamLH_TeamA3",6,161403,-0.398736,26.68887,5.79762
"60","1901_18_TeamLH_TeamA3",6,161453,-0.1796898,20.38959,5.43933
"61","1901_18_TeamLH_TeamA3",6,161503,0.0393756,14.13837,5.01627
"62","1901_18_TeamLH_TeamA3",6,161553,0.2584599,7.93515,4.52847
