"","game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1","1902_10_TeamMI_TeamA3",1,14081,2.373924,54.489,5.38746
"2","1902_10_TeamMI_TeamA3",1,14131,1.916715,47.9067,4.91868
"3","1902_10_TeamMI_TeamA3",1,14181,1.491072,41.3985,4.39152
"4","1902_10_TeamMI_TeamA3",1,14231,1.096998,34.9641,3.80595
"5","1902_10_TeamMI_TeamA3",1,14281,0.73449,28.60422,3.16197
"6","1902_10_TeamMI_TeamA3",1,14331,0.403548,22.31832,2.459595
"7","1902_10_TeamMI_TeamA3",1,14381,0.1041756,16.10655,1.698804
"8","1902_10_TeamMI_TeamA3",1,14431,-0.1636308,9.96894,0.879606
"9","1902_10_TeamMI_TeamA3",1,14481,-0.39987,3.90543,0.002002569
"10","1902_10_TeamMI_TeamA3",1,14531,-0.604542,-2.083941,-0.934008
"11","1902_10_TeamMI_TeamA3",2,32831,2.309997,54.4305,5.28534
"12","1902_10_TeamMI_TeamA3",2,32881,1.957578,47.9508,5.1825
"13","1902_10_TeamMI_TeamA3",2,32931,1.627476,41.5431,5.00991
"14","1902_10_TeamMI_TeamA3",2,32981,1.319694,35.2071,4.76748
"15","1902_10_TeamMI_TeamA3",2,33031,1.034232,28.94319,4.4553
"16","1902_10_TeamMI_TeamA3",2,33081,0.77109,22.7511,4.07331
"17","1902_10_TeamMI_TeamA3",2,33131,0.530265,16.63098,3.62154
"18","1902_10_TeamMI_TeamA3",2,33181,0.31176,10.58274,3.09996
"19","1902_10_TeamMI_TeamA3",2,33231,0.1155753,4.60644,2.508588
"20","1902_10_TeamMI_TeamA3",2,33281,-0.0582909,-1.297965,1.847427
"21","1902_10_TeamMI_TeamA3",2,33331,-0.2098386,-7.13046,1.116471
"22","1902_10_TeamMI_TeamA3",3,48781,2.299287,52.9959,5.38107
"23","1902_10_TeamMI_TeamA3",3,48831,1.862175,46.4007,5.17761
"24","1902_10_TeamMI_TeamA3",3,48881,1.440609,39.8874,4.92357
"25","1902_10_TeamMI_TeamA3",3,48931,1.034592,33.4554,4.61892
"26","1902_10_TeamMI_TeamA3",3,48981,0.644118,27.10485,4.26369
"27","1902_10_TeamMI_TeamA3",3,49031,0.2691909,20.83596,3.85785
"28","1902_10_TeamMI_TeamA3",3,49081,-0.0901923,14.64855,3.4014
"29","1902_10_TeamMI_TeamA3",3,49131,-0.434028,8.54268,2.894382
"30","1902_10_TeamMI_TeamA3",3,49181,-0.762318,2.518344,2.33676
"31","1902_10_TeamMI_TeamA3",3,49231,-6.55473,11.6871,3.77001
"32","1902_10_TeamMI_TeamA3",3,49281,-11.33604,17.65668,4.58625
"33","1902_10_TeamMI_TeamA3",3,49331,-16.10277,23.52027,5.30502
"34","1902_10_TeamMI_TeamA3",3,49381,-20.8548,29.27781,5.92632
"35","1902_10_TeamMI_TeamA3",3,49431,-25.59222,34.9293,6.45015
"36","1902_10_TeamMI_TeamA3",3,49481,-30.315,40.4748,6.87648
"37","1902_10_TeamMI_TeamA3",3,49531,-35.0232,45.9144,7.20537
"38","1902_10_TeamMI_TeamA3",3,49581,-39.7167,51.2478,7.43676
"39","1902_10_TeamMI_TeamA3",3,49631,-44.3955,56.4753,7.57068
"40","1902_10_TeamMI_TeamA3",3,49681,-49.0596,61.5969,7.60713
"41","1902_10_TeamMI_TeamA3",3,49731,-53.7093,66.6123,7.54611
"42","1902_10_TeamMI_TeamA3",3,49781,-58.3443,71.5218,7.38762
"43","1902_10_TeamMI_TeamA3",3,49831,-62.9646,76.3251,7.13166
"44","1902_10_TeamMI_TeamA3",3,49881,-67.5702,81.0225,6.77823
"45","1902_10_TeamMI_TeamA3",3,49931,-72.1611,85.614,6.3273
"46","1902_10_TeamMI_TeamA3",3,49981,-76.7376,90.0993,5.77893
"47","1902_10_TeamMI_TeamA3",3,50031,-81.2991,94.4787,5.13306
"48","1902_10_TeamMI_TeamA3",3,50081,-85.8462,98.7519,4.38972
"49","1902_10_TeamMI_TeamA3",3,50131,-90.3789,102.9195,3.54891
"50","1902_10_TeamMI_TeamA3",3,50181,-94.8966,106.9806,2.610627
"51","1902_10_TeamMI_TeamA3",3,50231,-99.3999,110.9361,1.574871
"52","1902_10_TeamMI_TeamA3",3,50281,-103.8882,114.7854,0.441642
"53","1902_10_TeamMI_TeamA3",3,50331,-108.3621,118.5285,-0.789066
"54","1902_10_TeamMI_TeamA3",3,50381,-112.8216,122.1657,-2.117244
"55","1902_10_TeamMI_TeamA3",3,50431,-114.7059,125.0874,0.1058088
"56","1902_10_TeamMI_TeamA3",3,50481,-117.6423,127.752,0.606153
"57","1902_10_TeamMI_TeamA3",3,50531,-120.5607,130.3803,1.007178
"58","1902_10_TeamMI_TeamA3",3,50581,-123.4611,132.9729,1.308888
"59","1902_10_TeamMI_TeamA3",3,50631,-126.3441,135.5295,1.511277
"60","1902_10_TeamMI_TeamA3",3,50681,-129.2091,138.0501,1.614351
"61","1902_10_TeamMI_TeamA3",3,50731,-132.0567,140.535,1.618104
"62","1902_10_TeamMI_TeamA3",3,50781,-134.886,142.9836,1.522539
"63","1902_10_TeamMI_TeamA3",3,50831,-137.6979,145.3965,1.327656
"64","1902_10_TeamMI_TeamA3",3,50881,-140.4921,147.7734,1.033455
"65","1902_10_TeamMI_TeamA3",3,50931,-143.2683,150.1143,0.639933
"66","1902_10_TeamMI_TeamA3",3,50981,-146.0268,152.4192,0.1470972
"67","1902_10_TeamMI_TeamA3",3,51031,-148.7676,154.6881,-0.445059
"68","1902_10_TeamMI_TeamA3",3,51081,-151.4907,156.9213,-1.136535
"69","1902_10_TeamMI_TeamA3",3,51131,-152.6958,157.2873,-0.806211
"70","1902_10_TeamMI_TeamA3",3,51181,-155.0523,159.2577,-0.834825
"71","1902_10_TeamMI_TeamA3",3,51231,-157.4088,161.2281,-0.863436
"72","1902_10_TeamMI_TeamA3",3,51281,-159.7653,163.1985,-0.89205
"73","1902_10_TeamMI_TeamA3",3,51331,-162.1218,165.1692,-0.920664
"74","1902_10_TeamMI_TeamA3",3,51381,-164.4783,167.1396,-0.949275
"75","1902_10_TeamMI_TeamA3",3,51431,-166.8348,169.11,-0.977889
"76","1902_10_TeamMI_TeamA3",3,51481,-169.1913,171.0804,-1.0065
"77","1902_10_TeamMI_TeamA3",3,51531,-171.5802,172.9692,-1.064313
"78","1902_10_TeamMI_TeamA3",3,51581,-173.9694,174.8583,-1.122129
"79","1902_10_TeamMI_TeamA3",3,51631,-176.3583,176.7471,-1.179942
"80","1902_10_TeamMI_TeamA3",3,51681,-178.7472,178.6359,-1.237758
"81","1902_10_TeamMI_TeamA3",3,51731,-181.1361,180.5247,-1.295571
"82","1902_10_TeamMI_TeamA3",3,51781,-183.5253,182.4138,-1.353387
"83","1902_10_TeamMI_TeamA3",3,51831,-185.9142,184.3026,-1.4112
