"","game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1","1902_13_TeamMD_TeamA2",1,58580,0.465612,61.4073,5.21949
"2","1902_13_TeamMD_TeamA2",1,58630,0.504756,54.543,5.2257
"3","1902_13_TeamMD_TeamA2",1,58680,0.59865,47.8146,5.139
"4","1902_13_TeamMD_TeamA2",1,58730,0.747294,41.2227,4.95942
"5","1902_13_TeamMD_TeamA2",1,58780,0.950688,34.7667,4.68693
"6","1902_13_TeamMD_TeamA2",1,58830,1.208832,28.44705,4.32156
"7","1902_13_TeamMD_TeamA2",1,58880,1.521723,22.26348,3.86328
"8","1902_13_TeamMD_TeamA2",1,58930,1.889364,16.21608,3.31212
"9","1902_13_TeamMD_TeamA2",1,58980,2.311755,10.30482,2.668065
"10","1902_13_TeamMD_TeamA2",1,59030,2.788896,4.5297,1.931106
"11","1902_13_TeamMD_TeamA2",1,59080,3.32079,-1.109277,1.101246
"12","1902_13_TeamMD_TeamA2",2,98480,-2.116974,61.1865,2.336712
"13","1902_13_TeamMD_TeamA2",2,98530,-1.583355,53.6769,3.30453
"14","1902_13_TeamMD_TeamA2",2,98580,-1.122486,46.3812,4.05225
"15","1902_13_TeamMD_TeamA2",2,98630,-0.734367,39.2994,4.57986
"16","1902_13_TeamMD_TeamA2",2,98680,-0.419001,32.4315,4.88742
"17","1902_13_TeamMD_TeamA2",2,98730,-0.1763886,25.77771,4.97487
"18","1902_13_TeamMD_TeamA2",2,98780,-0.00652593,19.33782,4.84224
"19","1902_13_TeamMD_TeamA2",2,98830,0.0905856,13.11189,4.48953
"20","1902_13_TeamMD_TeamA2",2,98880,0.114945,7.09995,3.91674
"21","1902_13_TeamMD_TeamA2",2,98930,0.0665532,1.301979,3.12384
"22","1902_13_TeamMD_TeamA2",3,114880,-1.732329,59.5713,4.92981
"23","1902_13_TeamMD_TeamA2",3,114930,-1.364607,53.1282,5.46618
"24","1902_13_TeamMD_TeamA2",3,114980,-1.046442,46.7133,5.77929
"25","1902_13_TeamMD_TeamA2",3,115030,-0.777837,40.3263,5.8692
"26","1902_13_TeamMD_TeamA2",3,115080,-0.558789,33.9672,5.73585
"27","1902_13_TeamMD_TeamA2",3,115130,-0.389298,27.63621,5.37927
"28","1902_13_TeamMD_TeamA2",3,115180,-0.2693652,21.33303,4.79946
"29","1902_13_TeamMD_TeamA2",3,115230,-0.1989909,15.05784,3.99642
"30","1902_13_TeamMD_TeamA2",3,115280,-0.1781745,8.81058,2.970165
"31","1902_13_TeamMD_TeamA2",3,115330,-0.206916,2.591244,1.720659
"32","1902_13_TeamMD_TeamA2",4,136730,-1.391304,59.6181,6.63372
"33","1902_13_TeamMD_TeamA2",4,136780,-1.069284,53.0031,6.2886
"34","1902_13_TeamMD_TeamA2",4,136830,-0.783963,46.4517,5.90115
"35","1902_13_TeamMD_TeamA2",4,136880,-0.535344,39.9633,5.4714
"36","1902_13_TeamMD_TeamA2",4,136930,-0.323424,33.5388,4.99932
"37","1902_13_TeamMD_TeamA2",4,136980,-0.1482066,27.17736,4.48494
