"","game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1","1902_18_TeamMB_TeamA1",1,40154,-2.608032,56.4132,5.74227
"2","1902_18_TeamMB_TeamA1",1,40204,-2.380341,49.8015,5.53755
"3","1902_18_TeamMB_TeamA1",1,40254,-2.175531,43.2678,5.27727
"4","1902_18_TeamMB_TeamA1",1,40304,-1.993605,36.8121,4.9614
"5","1902_18_TeamMB_TeamA1",1,40354,-1.834566,30.4344,4.58991
"6","1902_18_TeamMB_TeamA1",1,40404,-1.698405,24.13443,4.16286
"7","1902_18_TeamMB_TeamA1",1,40454,-1.585131,17.91249,3.68022
"8","1902_18_TeamMB_TeamA1",1,40504,-1.494741,11.76846,3.14199
"9","1902_18_TeamMB_TeamA1",1,40554,-1.427232,5.70237,2.548167
"10","1902_18_TeamMB_TeamA1",1,40604,-1.38261,-0.2858238,1.89876
"11","1902_18_TeamMB_TeamA1",1,40654,-1.360869,-6.19611,1.19376
"12","1902_18_TeamMB_TeamA1",2,52604,-2.553732,52.7805,5.6139
"13","1902_18_TeamMB_TeamA1",2,52654,-2.133453,46.1775,5.32902
"14","1902_18_TeamMB_TeamA1",2,52704,-1.759554,39.6672,4.9884
"15","1902_18_TeamMB_TeamA1",2,52754,-1.432035,33.2502,4.59198
"16","1902_18_TeamMB_TeamA1",2,52804,-1.150893,26.92623,4.13979
"17","1902_18_TeamMB_TeamA1",2,52854,-0.916128,20.69526,3.63183
"18","1902_18_TeamMB_TeamA1",2,52904,-0.72774,14.55729,3.06807
"19","1902_18_TeamMB_TeamA1",2,52954,-0.585729,8.51241,2.448567
"20","1902_18_TeamMB_TeamA1",2,53004,-0.490098,2.560566,1.77327
"21","1902_18_TeamMB_TeamA1",2,53054,-0.440844,-3.29823,1.0422
"22","1902_18_TeamMB_TeamA1",3,67104,-2.676306,56.295,5.69289
"23","1902_18_TeamMB_TeamA1",3,67154,-2.214183,49.7991,5.43102
"24","1902_18_TeamMB_TeamA1",3,67204,-1.786635,43.344,5.10825
"25","1902_18_TeamMB_TeamA1",3,67254,-1.393659,36.9291,4.72455
"26","1902_18_TeamMB_TeamA1",3,67304,-1.035261,30.5544,4.27998
"27","1902_18_TeamMB_TeamA1",3,67354,-0.711435,24.22029,3.77448
"28","1902_18_TeamMB_TeamA1",3,67404,-0.422181,17.92644,3.20805
"29","1902_18_TeamMB_TeamA1",3,67454,-0.1675026,11.67297,2.580732
"30","1902_18_TeamMB_TeamA1",3,67504,0.0526017,5.45985,1.892499
"31","1902_18_TeamMB_TeamA1",3,67554,0.2381322,-0.712896,1.14336
"32","1902_18_TeamMB_TeamA1",4,89904,-2.401089,53.1486,5.52642
"33","1902_18_TeamMB_TeamA1",4,89954,-2.027301,46.5813,5.3253
"34","1902_18_TeamMB_TeamA1",4,90004,-1.677201,40.0695,5.06298
"35","1902_18_TeamMB_TeamA1",4,90054,-1.350789,33.6135,4.73937
"36","1902_18_TeamMB_TeamA1",4,90104,-1.048059,27.21294,4.35453
"37","1902_18_TeamMB_TeamA1",4,90154,-0.769017,20.86812,3.90846
"38","1902_18_TeamMB_TeamA1",4,90204,-0.51366,14.57895,3.40113
"39","1902_18_TeamMB_TeamA1",4,90254,-0.2819895,8.34543,2.83257
"40","1902_18_TeamMB_TeamA1",4,90304,-0.0740055,2.167575,2.202756
"41","1902_18_TeamMB_TeamA1",4,90354,1.3785,6.7635,-0.2358
"42","1902_18_TeamMB_TeamA1",4,90404,3.66399,10.04292,1.328307
"43","1902_18_TeamMB_TeamA1",4,90454,5.19855,13.90755,2.441199
"44","1902_18_TeamMB_TeamA1",4,90504,6.72306,17.73108,3.44412
"45","1902_18_TeamMB_TeamA1",4,90554,8.23746,21.51351,4.33704
"46","1902_18_TeamMB_TeamA1",4,90604,9.74181,25.25481,5.11998
"47","1902_18_TeamMB_TeamA1",4,90654,11.23611,28.95504,5.79297
"48","1902_18_TeamMB_TeamA1",4,90704,12.72033,32.6142,6.35595
"49","1902_18_TeamMB_TeamA1",4,90754,14.19447,36.2322,6.80895
"50","1902_18_TeamMB_TeamA1",4,90804,15.65856,39.8088,7.15197
"51","1902_18_TeamMB_TeamA1",4,90854,17.11257,43.3446,7.38501
"52","1902_18_TeamMB_TeamA1",4,90904,18.55653,46.8393,7.50807
"53","1902_18_TeamMB_TeamA1",4,90954,19.99038,50.2929,7.52118
"54","1902_18_TeamMB_TeamA1",4,91004,21.41421,53.7054,7.42428
"55","1902_18_TeamMB_TeamA1",4,91054,22.82793,57.0765,7.2174
"56","1902_18_TeamMB_TeamA1",4,91104,24.2316,60.4068,6.90054
"57","1902_18_TeamMB_TeamA1",4,91154,25.62519,63.6957,6.4737
"58","1902_18_TeamMB_TeamA1",4,91204,27.00873,66.9438,5.93685
"59","1902_18_TeamMB_TeamA1",4,91254,28.38219,70.1505,5.29005
"60","1902_18_TeamMB_TeamA1",4,91304,29.74557,73.3164,4.53327
"61","1902_18_TeamMB_TeamA1",4,91354,31.0989,76.4409,3.66651
"62","1902_18_TeamMB_TeamA1",4,91404,32.4423,79.5246,2.689764
"63","1902_18_TeamMB_TeamA1",4,91454,33.7752,82.5669,1.603038
"64","1902_18_TeamMB_TeamA1",4,91504,35.0985,85.5681,0.406329
"65","1902_18_TeamMB_TeamA1",4,91554,36.4116,88.5285,-0.900357
"66","1902_18_TeamMB_TeamA1",4,91604,37.7973,91.8237,0.576777
"67","1902_18_TeamMB_TeamA1",4,91654,39.1707,94.8921,0.829128
"68","1902_18_TeamMB_TeamA1",4,91704,40.5567,97.9302,0.986277
"69","1902_18_TeamMB_TeamA1",4,91754,41.9544,100.9377,1.048233
"70","1902_18_TeamMB_TeamA1",4,91804,43.3647,103.9146,1.01499
"71","1902_18_TeamMB_TeamA1",4,91854,44.787,106.8609,0.886548
"72","1902_18_TeamMB_TeamA1",4,91904,46.2213,109.7769,0.66291
"73","1902_18_TeamMB_TeamA1",4,91954,47.6682,112.6623,0.344076
"74","1902_18_TeamMB_TeamA1",4,92004,49.1268,115.5171,-0.0699579
"75","1902_18_TeamMB_TeamA1",4,92054,50.0931,118.2381,0.2305995
"76","1902_18_TeamMB_TeamA1",4,92104,51.3513,121.0188,0.341418
"77","1902_18_TeamMB_TeamA1",4,92154,52.5273,123.6261,0.372948
"78","1902_18_TeamMB_TeamA1",4,92204,53.6208,126.0609,0.325188
"79","1902_18_TeamMB_TeamA1",4,92254,52.7781,131.2389,-0.1740003
"80","1902_18_TeamMB_TeamA1",4,92304,52.8453,131.9331,-0.1407141
