"","game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1","1902_20_TeamME_TeamA2",1,43978,-1.4853,57.1698,6.02592
"2","1902_20_TeamME_TeamA2",1,44028,-1.232577,50.5221,5.83362
"3","1902_20_TeamME_TeamA2",1,44078,-1.019811,43.9524,5.58483
"4","1902_20_TeamME_TeamA2",1,44128,-0.846999,37.4601,5.27952
"5","1902_20_TeamME_TeamA2",1,44178,-0.714141,31.0455,4.91769
"6","1902_20_TeamME_TeamA2",1,44228,-0.62124,24.70848,4.49937
"7","1902_20_TeamME_TeamA2",1,44278,-0.568293,18.4491,4.02453
"8","1902_20_TeamME_TeamA2",1,44328,-0.555303,12.26733,3.49317
"9","1902_20_TeamME_TeamA2",1,44378,-0.582264,6.16317,2.905278
"10","1902_20_TeamME_TeamA2",1,44428,-0.649185,0.1366518,2.260893
"11","1902_20_TeamME_TeamA2",1,44478,-0.756057,-5.81226,1.559991
"12","1902_20_TeamME_TeamA2",2,59828,-1.499478,57.9369,6.03639
"13","1902_20_TeamME_TeamA2",2,59878,-1.185981,51.3141,5.78385
"14","1902_20_TeamME_TeamA2",2,59928,-0.907389,44.7567,5.46642
"15","1902_20_TeamME_TeamA2",2,59978,-0.663705,38.2647,5.0841
"16","1902_20_TeamME_TeamA2",2,60028,-0.454926,31.8381,4.63692
"17","1902_20_TeamME_TeamA2",2,60078,-0.2810499,25.47699,4.12482
"18","1902_20_TeamME_TeamA2",2,60128,-0.1420794,19.18119,3.54786
"19","1902_20_TeamME_TeamA2",2,60178,-0.0380148,12.95082,2.906028
"20","1902_20_TeamME_TeamA2",2,60228,0.0311448,6.78585,2.199306
"21","1902_20_TeamME_TeamA2",2,60278,0.0653994,0.686289,1.427703
"22","1902_20_TeamME_TeamA2",3,78328,-1.49355,56.4954,6.0126
"23","1902_20_TeamME_TeamA2",3,78378,-1.690125,50.6817,6.25527
"24","1902_20_TeamME_TeamA2",3,78428,-1.854888,44.9331,6.39618
"25","1902_20_TeamME_TeamA2",3,78478,-1.987836,39.2493,6.4353
"26","1902_20_TeamME_TeamA2",3,78528,-2.088972,33.6306,6.3726
"27","1902_20_TeamME_TeamA2",3,78578,-2.158296,28.07727,6.20811
"28","1902_20_TeamME_TeamA2",3,78628,-2.195808,22.58883,5.9418
"29","1902_20_TeamME_TeamA2",3,78678,-2.201508,17.16552,5.57373
"30","1902_20_TeamME_TeamA2",3,78728,-2.175393,11.80728,5.10384
"31","1902_20_TeamME_TeamA2",3,78778,-2.117466,6.51414,4.53216
"32","1902_20_TeamME_TeamA2",3,78828,-2.027727,1.286055,3.85866
"33","1902_20_TeamME_TeamA2",3,78878,-1.906173,-3.87696,3.08337
"34","1902_20_TeamME_TeamA2",4,94728,-1.429026,55.3176,6.13818
"35","1902_20_TeamME_TeamA2",4,94778,-1.445958,49.6047,6.19932
"36","1902_20_TeamME_TeamA2",4,94828,-1.435032,43.9509,6.1533
"37","1902_20_TeamME_TeamA2",4,94878,-1.396248,38.3559,6.00015
"38","1902_20_TeamME_TeamA2",4,94928,-1.329606,32.8203,5.73987
"39","1902_20_TeamME_TeamA2",4,94978,-1.235106,27.34341,5.37243
"40","1902_20_TeamME_TeamA2",4,95028,-1.112748,21.92565,4.89783
"41","1902_20_TeamME_TeamA2",4,95078,-0.962532,16.5669,4.3161
"42","1902_20_TeamME_TeamA2",4,95128,-0.784458,11.26713,3.62724
"43","1902_20_TeamME_TeamA2",4,95178,-0.578526,6.02643,2.831211
"44","1902_20_TeamME_TeamA2",4,95228,-0.344736,0.844752,1.928046
"45","1902_20_TeamME_TeamA2",5,126978,-1.588626,56.3289,5.93157
"46","1902_20_TeamME_TeamA2",5,127028,-1.340178,49.5546,5.80974
"47","1902_20_TeamME_TeamA2",5,127078,-1.129317,42.8541,5.63244
"48","1902_20_TeamME_TeamA2",5,127128,-0.956037,36.2271,5.39967
"49","1902_20_TeamME_TeamA2",5,127178,-0.820347,29.67387,5.11146
"50","1902_20_TeamME_TeamA2",5,127228,-0.722241,23.19423,4.76778
"51","1902_20_TeamME_TeamA2",5,127278,-0.661719,16.78824,4.36863
"52","1902_20_TeamME_TeamA2",5,127328,-0.638781,10.45587,3.91401
