"","game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1","1902_27_TeamMH_TeamA3",1,26522,-2.094057,51.8565,5.63646
"2","1902_27_TeamMH_TeamA3",1,26572,-1.822539,45.3978,5.5062
"3","1902_27_TeamMH_TeamA3",1,26622,-1.576881,38.9916,5.33001
"4","1902_27_TeamMH_TeamA3",1,26672,-1.357083,32.6379,5.10783
"5","1902_27_TeamMH_TeamA3",1,26722,-1.163142,26.33646,4.83975
"6","1902_27_TeamMH_TeamA3",1,26772,-0.995061,20.08761,4.52568
"7","1902_27_TeamMH_TeamA3",1,26822,-0.852837,13.8912,4.16568
"8","1902_27_TeamMH_TeamA3",1,26872,-0.736473,7.74726,3.75972
"9","1902_27_TeamMH_TeamA3",1,26922,-0.645969,1.655754,3.3078
"10","1902_27_TeamMH_TeamA3",1,26972,-0.581322,-4.38327,2.809956
"11","1902_27_TeamMH_TeamA3",2,58872,-1.929876,53.0592,5.53023
"12","1902_27_TeamMH_TeamA3",2,58922,-1.539033,46.4181,5.21556
"13","1902_27_TeamMH_TeamA3",2,58972,-1.168776,39.8733,4.85643
"14","1902_27_TeamMH_TeamA3",2,59022,-0.819105,33.4254,4.45281
"15","1902_27_TeamMH_TeamA3",2,59072,-0.49002,27.0738,4.0047
"16","1902_27_TeamMH_TeamA3",2,59122,-0.1815237,20.81895,3.51213
"17","1902_27_TeamMH_TeamA3",2,59172,0.1063893,14.66064,2.975064
"18","1902_27_TeamMH_TeamA3",2,59222,0.373713,8.59899,2.393523
"19","1902_27_TeamMH_TeamA3",2,59272,0.620454,2.633913,1.767504
"20","1902_27_TeamMH_TeamA3",2,59322,0.610839,7.8519,2.159154
"21","1902_27_TeamMH_TeamA3",2,59372,0.573603,14.79903,2.39562
"22","1902_27_TeamMH_TeamA3",2,59422,0.543477,21.56946,2.526828
"23","1902_27_TeamMH_TeamA3",2,59472,0.520455,28.16316,2.552778
"24","1902_27_TeamMH_TeamA3",2,59522,0.504543,34.5801,2.473464
"25","1902_27_TeamMH_TeamA3",2,59572,0.495738,40.8204,2.288895
"26","1902_27_TeamMH_TeamA3",2,59622,0.49404,46.884,1.999062
"27","1902_27_TeamMH_TeamA3",2,59672,0.499449,52.7706,1.603971
"28","1902_27_TeamMH_TeamA3",2,59722,0.652176,55.041,1.132599
"29","1902_27_TeamMH_TeamA3",2,59772,0.622149,54.9021,1.042101
"30","1902_27_TeamMH_TeamA3",2,59822,0.592125,54.7629,0.9516
"31","1902_27_TeamMH_TeamA3",2,59872,0.562101,54.6237,0.861099
"32","1902_27_TeamMH_TeamA3",2,59922,0.532074,54.4845,0.770601
"33","1902_27_TeamMH_TeamA3",2,59972,0.50205,54.3453,0.6801
"34","1902_27_TeamMH_TeamA3",2,60022,0.472026,54.2064,0.589599
"35","1902_27_TeamMH_TeamA3",2,60072,0.441999,54.0672,0.499101
"36","1902_27_TeamMH_TeamA3",2,60122,0.411975,53.928,0.4086
"37","1902_27_TeamMH_TeamA3",2,60172,0.381951,53.7888,0.318099
"38","1902_27_TeamMH_TeamA3",2,60222,0.351924,53.6499,0.2275998
"39","1902_27_TeamMH_TeamA3",2,60272,0.3219,53.5107,0.1371
"40","1902_27_TeamMH_TeamA3",2,60322,0.386361,53.4471,0.1285314
"41","1902_27_TeamMH_TeamA3",2,60372,0.450825,53.3835,0.1199625
"42","1902_27_TeamMH_TeamA3",2,60422,0.515289,53.3199,0.1113936
"43","1902_27_TeamMH_TeamA3",2,60472,0.57975,53.2563,0.102825
"44","1902_27_TeamMH_TeamA3",2,60522,0.644214,53.193,0.0942561
"45","1902_27_TeamMH_TeamA3",2,60572,0.708675,53.1294,0.0856875
"46","1902_27_TeamMH_TeamA3",2,60622,0.773136,53.0658,0.0771189
"47","1902_27_TeamMH_TeamA3",2,60672,0.8376,53.0022,0.06855
"48","1902_27_TeamMH_TeamA3",2,60722,0.902064,52.9386,0.0599811
"49","1902_27_TeamMH_TeamA3",2,60772,0.966525,52.875,0.0514125
"50","1902_27_TeamMH_TeamA3",2,60822,1.030986,52.8114,0.0428439
"51","1902_27_TeamMH_TeamA3",2,60872,1.09545,52.7481,0.034275
"52","1902_27_TeamMH_TeamA3",2,60922,1.159914,52.6845,0.02570622
