"","game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1","1903_07_TeamND_TeamA2",1,14823,-1.631073,53.16,5.73807
"2","1903_07_TeamND_TeamA2",1,14873,-1.245714,46.6707,5.50713
"3","1903_07_TeamND_TeamA2",1,14923,-0.877785,40.2171,5.22927
"4","1903_07_TeamND_TeamA2",1,14973,-0.527286,33.7992,4.90455
"5","1903_07_TeamND_TeamA2",1,15023,-0.1942116,27.41739,4.53294
"6","1903_07_TeamND_TeamA2",1,15073,0.1214343,21.07134,4.11444
"7","1903_07_TeamND_TeamA2",1,15123,0.419655,14.76111,3.64905
"8","1903_07_TeamND_TeamA2",1,15173,0.700443,8.48676,3.13677
"9","1903_07_TeamND_TeamA2",1,15223,0.963807,2.248248,2.577615
"10","1903_07_TeamND_TeamA2",1,15273,1.209741,-3.95439,1.97157
"11","1903_07_TeamND_TeamA2",2,27073,-3.07299,58.2444,5.44512
"12","1903_07_TeamND_TeamA2",2,27123,-2.27154,51.3048,5.30502
"13","1903_07_TeamND_TeamA2",2,27173,-1.560174,44.4786,5.08878
"14","1903_07_TeamND_TeamA2",2,27223,-0.938868,37.7658,4.79637
"15","1903_07_TeamND_TeamA2",2,27273,-0.407628,31.1661,4.42782
"16","1903_07_TeamND_TeamA2",2,27323,0.0335469,24.67971,3.98313
"17","1903_07_TeamND_TeamA2",2,27373,0.38466,18.3066,3.4623
"18","1903_07_TeamND_TeamA2",2,27423,0.645708,12.04677,2.865321
"19","1903_07_TeamND_TeamA2",2,27473,0.81669,5.90025,2.192193
"20","1903_07_TeamND_TeamA2",2,27523,0.897612,-0.1330053,1.442919
"21","1903_07_TeamND_TeamA2",2,27573,0.888465,-6.05298,0.617496
"22","1903_07_TeamND_TeamA2",3,42973,-1.952391,52.6521,5.63313
"23","1903_07_TeamND_TeamA2",3,43023,-1.524669,45.9198,5.31267
"24","1903_07_TeamND_TeamA2",3,43073,-1.140018,39.2607,4.94874
"25","1903_07_TeamND_TeamA2",3,43123,-0.798438,32.6748,4.54134
"26","1903_07_TeamND_TeamA2",3,43173,-0.499932,26.16195,4.09053
"27","1903_07_TeamND_TeamA2",3,43223,-0.244497,19.72215,3.59625
"28","1903_07_TeamND_TeamA2",3,43273,-0.0321327,13.35546,3.05853
"29","1903_07_TeamND_TeamA2",3,43323,0.13716,7.06185,2.477355
"30","1903_07_TeamND_TeamA2",3,43373,0.2633817,0.841302,1.852731
"31","1903_07_TeamND_TeamA2",3,43423,0.34653,-5.30613,1.184664
"32","1903_07_TeamND_TeamA2",4,55823,-1.657425,63.1329,6.30816
"33","1903_07_TeamND_TeamA2",4,55873,-1.480638,56.5386,5.96565
"34","1903_07_TeamND_TeamA2",4,55923,-1.299231,49.9662,5.58654
"35","1903_07_TeamND_TeamA2",4,55973,-1.113201,43.4157,5.17077
"36","1903_07_TeamND_TeamA2",4,56023,-0.922548,36.8871,4.7184
