"","game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1","1903_13_TeamNG_TeamA3",1,22334,-1.333254,56.9394,6.16593
"2","1903_13_TeamNG_TeamA3",1,22384,-1.113768,50.2467,5.91759
"3","1903_13_TeamNG_TeamA3",1,22434,-0.925239,43.6452,5.62476
"4","1903_13_TeamNG_TeamA3",1,22484,-0.767664,37.1346,5.28744
"5","1903_13_TeamNG_TeamA3",1,22534,-0.641043,30.7152,4.90566
"6","1903_13_TeamNG_TeamA3",1,22584,-0.545379,24.38658,4.47939
"7","1903_13_TeamNG_TeamA3",1,22634,-0.480669,18.14898,4.00863
"8","1903_13_TeamNG_TeamA3",1,22684,-0.446913,12.00243,3.49341
"9","1903_13_TeamNG_TeamA3",1,22734,-0.444114,5.94687,2.93373
"10","1903_13_TeamNG_TeamA3",1,22784,-0.472269,-0.01769127,2.329557
"11","1903_13_TeamNG_TeamA3",1,22834,-0.531378,-5.89125,1.680906
"12","1903_13_TeamNG_TeamA3",2,34584,-1.205517,53.3619,5.96109
"13","1903_13_TeamNG_TeamA3",2,34634,-0.929646,47.6223,5.73429
"14","1903_13_TeamNG_TeamA3",2,34684,-0.684912,41.9457,5.41947
"15","1903_13_TeamNG_TeamA3",2,34734,-0.471312,36.3321,5.0166
"16","1903_13_TeamNG_TeamA3",2,34784,-0.2888448,30.7815,4.52565
"17","1903_13_TeamNG_TeamA3",2,34834,-0.1375128,25.29399,3.94668
"18","1903_13_TeamNG_TeamA3",2,34884,-0.01731477,19.8693,3.27966
"19","1903_13_TeamNG_TeamA3",2,34934,0.0717483,14.50764,2.524569
"20","1903_13_TeamNG_TeamA3",2,34984,0.1296768,9.20898,1.681437
"21","1903_13_TeamNG_TeamA3",2,35034,0.156471,3.97329,0.750258
"22","1903_13_TeamNG_TeamA3",2,35084,0.1521306,-1.199433,-0.2689746
"23","1903_13_TeamNG_TeamA3",2,35134,0.1166559,-6.30918,-1.376262
"24","1903_13_TeamNG_TeamA3",3,49434,-1.292808,55.2855,6.05274
"25","1903_13_TeamNG_TeamA3",3,49484,-0.937776,48.6138,5.97069
"26","1903_13_TeamNG_TeamA3",3,49534,-0.612732,42.0063,5.85351
"27","1903_13_TeamNG_TeamA3",3,49584,-0.317676,35.463,5.70126
"28","1903_13_TeamNG_TeamA3",3,49634,-0.0526041,28.98357,5.51388
"29","1903_13_TeamNG_TeamA3",3,49684,0.1824783,22.56834,5.29143
"30","1903_13_TeamNG_TeamA3",3,49734,0.387573,16.21719,5.03388
"31","1903_13_TeamNG_TeamA3",3,49784,0.56268,9.93015,4.74126
"32","1903_13_TeamNG_TeamA3",3,49834,0.707802,3.70719,4.41351
"33","1903_13_TeamNG_TeamA3",3,49884,0.822933,-2.451696,4.05066
"34","1903_13_TeamNG_TeamA3",4,62384,-1.122786,55.5672,6.05013
"35","1903_13_TeamNG_TeamA3",4,62434,-0.872043,48.8691,5.89053
"36","1903_13_TeamNG_TeamA3",4,62484,-0.650106,42.2607,5.69079
"37","1903_13_TeamNG_TeamA3",4,62534,-0.456975,35.7414,5.45097
"38","1903_13_TeamNG_TeamA3",4,62584,-0.2926527,29.31168,5.17101
"39","1903_13_TeamNG_TeamA3",4,62634,-0.1571364,22.97142,4.85097
