"","game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1","1903_17_TeamNI_TeamA3",1,7819,2.810886,55.8162,5.56722
"2","1903_17_TeamNI_TeamA3",1,7869,2.384118,49.0842,5.12277
"3","1903_17_TeamNI_TeamA3",1,7919,1.993359,42.4257,4.64124
"4","1903_17_TeamNI_TeamA3",1,7969,1.638612,35.8404,4.12257
"5","1903_17_TeamNI_TeamA3",1,8019,1.319874,29.32887,3.56685
"6","1903_17_TeamNI_TeamA3",1,8069,1.037151,22.89075,2.974011
"7","1903_17_TeamNI_TeamA3",1,8119,0.790434,16.5261,2.34408
"8","1903_17_TeamNI_TeamA3",1,8169,0.579732,10.23492,1.677051
"9","1903_17_TeamNI_TeamA3",1,8219,0.405039,4.01727,0.97293
"10","1903_17_TeamNI_TeamA3",1,8269,0.2663565,-2.12688,0.2317134
"11","1903_17_TeamNI_TeamA3",2,21319,2.871906,54.3624,5.58234
"12","1903_17_TeamNI_TeamA3",2,21369,2.500464,47.6217,5.26353
"13","1903_17_TeamNI_TeamA3",2,21419,2.155482,40.9428,4.90851
"14","1903_17_TeamNI_TeamA3",2,21469,1.836966,34.3257,4.51722
"15","1903_17_TeamNI_TeamA3",2,21519,1.544916,27.77052,4.08966
"16","1903_17_TeamNI_TeamA3",2,21569,1.279332,21.27699,3.62589
"17","1903_17_TeamNI_TeamA3",2,21619,1.040211,14.84529,3.12585
"18","1903_17_TeamNI_TeamA3",2,21669,0.827553,8.47533,2.589585
"19","1903_17_TeamNI_TeamA3",2,21719,0.641364,2.16717,2.017062
"20","1903_17_TeamNI_TeamA3",2,21769,0.481638,-4.07919,1.408293
"21","1903_17_TeamNI_TeamA3",3,34819,2.810415,54.6537,5.33553
"22","1903_17_TeamNI_TeamA3",3,34869,2.493249,48.6486,5.15406
"23","1903_17_TeamNI_TeamA3",3,34919,2.154459,42.7137,4.90581
"24","1903_17_TeamNI_TeamA3",3,34969,1.794048,36.8487,4.59072
"25","1903_17_TeamNI_TeamA3",3,35019,1.412016,31.0539,4.20882
"26","1903_17_TeamNI_TeamA3",3,35069,1.008366,25.32876,3.76011
"27","1903_17_TeamNI_TeamA3",3,35119,0.583092,19.67376,3.24459
"28","1903_17_TeamNI_TeamA3",3,35169,0.1361952,14.08869,2.662239
"29","1903_17_TeamNI_TeamA3",3,35219,-0.332322,8.57361,2.013081
"30","1903_17_TeamNI_TeamA3",3,35269,-0.822456,3.12855,1.29711
"31","1903_17_TeamNI_TeamA3",3,35319,-1.334214,-2.246565,0.514323
"32","1903_17_TeamNI_TeamA3",4,48819,2.976072,58.0605,5.66946
"33","1903_17_TeamNI_TeamA3",4,48869,2.701515,52.0308,5.40654
"34","1903_17_TeamNI_TeamA3",4,48919,2.407626,46.0521,5.08233
"35","1903_17_TeamNI_TeamA3",4,48969,2.094399,40.1247,4.69692
"36","1903_17_TeamNI_TeamA3",4,49019,1.76184,34.2483,4.25022
"37","1903_17_TeamNI_TeamA3",4,49069,1.409946,28.42302,3.74229
"38","1903_17_TeamNI_TeamA3",4,49119,1.038717,22.64892,3.1731
"39","1903_17_TeamNI_TeamA3",4,49169,0.64815,16.92594,2.542665
"40","1903_17_TeamNI_TeamA3",4,49219,0.2382489,11.25414,1.850982
"41","1903_17_TeamNI_TeamA3",4,49269,-0.1909863,5.63343,1.098048
"42","1903_17_TeamNI_TeamA3",4,49319,-0.639558,0.0638988,0.2838663
"43","1903_17_TeamNI_TeamA3",4,49369,-1.107462,-5.45451,-0.591564
"44","1903_17_TeamNI_TeamA3",5,67719,2.617377,52.8378,5.45685
"45","1903_17_TeamNI_TeamA3",5,67769,2.243007,45.96,5.02689
"46","1903_17_TeamNI_TeamA3",5,67819,1.909404,39.1671,4.55193
"47","1903_17_TeamNI_TeamA3",5,67869,1.616571,32.4585,4.03194
"48","1903_17_TeamNI_TeamA3",5,67919,1.364508,25.83444,3.46695
"49","1903_17_TeamNI_TeamA3",5,67969,1.153215,19.29498,2.856963
"50","1903_17_TeamNI_TeamA3",5,68019,0.982695,12.84009,2.201958
"51","1903_17_TeamNI_TeamA3",5,68069,0.852942,6.46974,1.501941
"52","1903_17_TeamNI_TeamA3",5,68119,0.763956,0.1839471,0.756915
"53","1903_17_TeamNI_TeamA3",5,68169,0.715743,-6.01731,-0.0331263
"54","1903_17_TeamNI_TeamA3",6,81419,2.889375,58.449,5.58849
"55","1903_17_TeamNI_TeamA3",6,81469,2.568477,51.6432,5.39946
"56","1903_17_TeamNI_TeamA3",6,81519,2.285211,44.9205,5.16051
"57","1903_17_TeamNI_TeamA3",6,81569,2.039571,38.2812,4.87164
"58","1903_17_TeamNI_TeamA3",6,81619,1.83156,31.725,4.53282
"59","1903_17_TeamNI_TeamA3",6,81669,1.661178,25.25217,4.14405
"60","1903_17_TeamNI_TeamA3",6,81719,1.528422,18.86256,3.70536
"61","1903_17_TeamNI_TeamA3",6,81769,1.433298,12.5562,3.21675
"62","1903_17_TeamNI_TeamA3",6,81819,1.3758,6.33306,2.67819
"63","1903_17_TeamNI_TeamA3",6,81869,1.355934,0.1932006,2.089698
"64","1903_17_TeamNI_TeamA3",6,81919,-1.312356,8.52303,-0.0730503
