"","game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1","1903_23_TeamNA_TeamA1",1,19510,1.056204,52.035,6.08184
"2","1903_23_TeamNA_TeamA1",1,19560,0.887889,45.3357,5.55984
"3","1903_23_TeamNA_TeamA1",1,19610,0.741729,38.6976,5.01957
"4","1903_23_TeamNA_TeamA1",1,19660,0.61773,32.1204,4.46097
"5","1903_23_TeamNA_TeamA1",1,19710,0.515889,25.6044,3.88404
"6","1903_23_TeamNA_TeamA1",1,19760,0.436206,19.14936,3.28881
"7","1903_23_TeamNA_TeamA1",1,19810,0.378681,12.7554,2.67528
"8","1903_23_TeamNA_TeamA1",1,19860,0.343314,6.42243,2.043426
"9","1903_23_TeamNA_TeamA1",1,19910,0.330102,0.1505412,1.393263
"10","1903_23_TeamNA_TeamA1",1,19960,0.339051,-6.0603,0.724788
"11","1903_23_TeamNA_TeamA1",2,33410,1.141497,51.8178,6.01983
"12","1903_23_TeamNA_TeamA1",2,33460,0.925947,45.0084,5.61084
"13","1903_23_TeamNA_TeamA1",2,33510,0.729801,38.2815,5.18556
"14","1903_23_TeamNA_TeamA1",2,33560,0.55305,31.6368,4.74396
"15","1903_23_TeamNA_TeamA1",2,33610,0.3957,25.07397,4.2861
"16","1903_23_TeamNA_TeamA1",2,33660,0.2577504,18.59349,3.81195
"17","1903_23_TeamNA_TeamA1",2,33710,0.1391997,12.19521,3.32148
"18","1903_23_TeamNA_TeamA1",2,33760,0.0400485,5.8791,2.814747
"19","1903_23_TeamNA_TeamA1",2,33810,-0.0397032,-0.354846,2.291715
"20","1903_23_TeamNA_TeamA1",3,50260,1.333011,58.5012,6.38094
"21","1903_23_TeamNA_TeamA1",3,50310,1.316574,51.5967,6.07854
"22","1903_23_TeamNA_TeamA1",3,50360,1.32342,44.7837,5.75046
"23","1903_23_TeamNA_TeamA1",3,50410,1.353546,38.0619,5.39667
"24","1903_23_TeamNA_TeamA1",3,50460,1.406952,31.4316,5.01717
"25","1903_23_TeamNA_TeamA1",3,50510,1.483638,24.89256,4.61199
"26","1903_23_TeamNA_TeamA1",3,50560,1.583604,18.44478,4.1811
"27","1903_23_TeamNA_TeamA1",3,50610,1.706853,12.08832,3.7245
"28","1903_23_TeamNA_TeamA1",3,50660,1.853379,5.82321,3.24222
"29","1903_23_TeamNA_TeamA1",3,50710,2.023185,-0.350613,2.734242
"30","1903_23_TeamNA_TeamA1",3,50760,2.216274,-6.43311,2.200563
"31","1903_23_TeamNA_TeamA1",4,66510,1.25283,56.0181,6.18015
"32","1903_23_TeamNA_TeamA1",4,66560,1.038174,49.1325,5.81967
"33","1903_23_TeamNA_TeamA1",4,66610,0.855492,42.3213,5.42754
"34","1903_23_TeamNA_TeamA1",4,66660,0.704787,35.5851,5.00379
"35","1903_23_TeamNA_TeamA1",4,66710,0.58605,28.92327,4.54842
"36","1903_23_TeamNA_TeamA1",4,66760,0.49929,22.33617,4.0614
"37","1903_23_TeamNA_TeamA1",4,66810,0.444504,15.82371,3.54276
"38","1903_23_TeamNA_TeamA1",4,66860,0.421689,9.38586,2.992497
"39","1903_23_TeamNA_TeamA1",4,66910,0.430848,3.02268,2.410599
"40","1903_23_TeamNA_TeamA1",5,88510,1.094406,54.7527,6.14925
"41","1903_23_TeamNA_TeamA1",5,88560,0.790059,47.8563,5.66232
"42","1903_23_TeamNA_TeamA1",5,88610,0.497457,41.0457,5.14716
"43","1903_23_TeamNA_TeamA1",5,88660,0.2165997,34.3215,4.60371
"44","1903_23_TeamNA_TeamA1",5,88710,-0.0525117,27.68361,4.03203
"45","1903_23_TeamNA_TeamA1",5,88760,-0.309879,21.13176,3.43209
"46","1903_23_TeamNA_TeamA1",5,88810,-0.555498,14.66607,2.803896
"47","1903_23_TeamNA_TeamA1",5,88860,-0.789375,8.28648,2.147445
"48","1903_23_TeamNA_TeamA1",5,88910,-1.011504,1.993116,1.462743
"49","1903_23_TeamNA_TeamA1",5,88960,-1.221888,-4.2141,0.749787
"50","1903_23_TeamNA_TeamA1",6,111360,1.178382,58.2471,6.46329
"51","1903_23_TeamNA_TeamA1",6,111410,1.082643,51.3045,6.05961
"52","1903_23_TeamNA_TeamA1",6,111460,1.00758,44.4477,5.63973
"53","1903_23_TeamNA_TeamA1",6,111510,0.95319,37.6767,5.20368
"54","1903_23_TeamNA_TeamA1",6,111560,0.919473,30.9915,4.75143
"55","1903_23_TeamNA_TeamA1",6,111610,0.906432,24.3918,4.28301
"56","1903_23_TeamNA_TeamA1",6,111660,0.914061,17.87787,3.79839
"57","1903_23_TeamNA_TeamA1",6,111710,0.942366,11.44968,3.29757
"58","1903_23_TeamNA_TeamA1",6,111760,0.991344,5.1072,2.780562
"59","1903_23_TeamNA_TeamA1",6,111810,1.060995,-1.149573,2.247372
"60","1903_23_TeamNA_TeamA1",6,111860,5.05005,7.54578,4.4277
"61","1903_23_TeamNA_TeamA1",6,111910,8.10327,12.6204,6.01233
"62","1903_23_TeamNA_TeamA1",6,111960,11.14887,17.63169,7.53204
"63","1903_23_TeamNA_TeamA1",6,112010,14.18685,22.57965,8.98686
"64","1903_23_TeamNA_TeamA1",6,112060,17.21724,27.46428,10.37676
"65","1903_23_TeamNA_TeamA1",6,112110,20.24001,32.2857,11.7018
"66","1903_23_TeamNA_TeamA1",6,112160,23.25513,37.0437,12.96195
"67","1903_23_TeamNA_TeamA1",6,112210,26.26266,41.7384,14.15718
"68","1903_23_TeamNA_TeamA1",6,112260,29.26257,46.3695,15.28752
"69","1903_23_TeamNA_TeamA1",6,112310,32.2548,50.9376,16.353
"70","1903_23_TeamNA_TeamA1",6,112360,35.2395,55.4424,17.35356
"71","1903_23_TeamNA_TeamA1",6,112410,38.2167,59.8836,18.28923
