"","game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1","1903_25_TeamNK_TeamB",1,53315,-1.961013,58.4946,6.85104
"2","1903_25_TeamNK_TeamB",1,53365,-1.657677,51.8232,6.39774
"3","1903_25_TeamNK_TeamB",1,53415,-1.367115,45.2178,5.90895
"4","1903_25_TeamNK_TeamB",1,53465,-1.089333,38.6793,5.38464
"5","1903_25_TeamNK_TeamB",1,53515,-0.824322,32.2068,4.82484
"6","1903_25_TeamNK_TeamB",1,53565,-0.572088,25.80078,4.22952
"7","1903_25_TeamNK_TeamB",1,53615,-0.332631,19.46115,3.59871
"8","1903_25_TeamNK_TeamB",1,53665,-0.1059486,13.18791,2.93238
"9","1903_25_TeamNK_TeamB",1,53715,0.107958,6.98106,2.23056
"10","1903_25_TeamNK_TeamB",1,53765,0.30909,0.840576,1.493238
"11","1903_25_TeamNK_TeamB",1,53815,0.497445,-5.2335,0.720411
"12","1903_25_TeamNK_TeamB",1,53865,0.673023,-11.24121,-0.0879183
"13","1903_25_TeamNK_TeamB",2,66165,-1.991151,55.8687,6.42342
"14","1903_25_TeamNK_TeamB",2,66215,-1.405035,49.0308,6.10566
"15","1903_25_TeamNK_TeamB",2,66265,-0.858423,42.2949,5.72265
"16","1903_25_TeamNK_TeamB",2,66315,-0.351315,35.6613,5.27442
"17","1903_25_TeamNK_TeamB",2,66365,0.1162866,29.13015,4.76097
"18","1903_25_TeamNK_TeamB",2,66415,0.544386,22.70112,4.1823
"19","1903_25_TeamNK_TeamB",2,66465,0.932979,16.37439,3.53841
"20","1903_25_TeamNK_TeamB",2,66515,1.282065,10.1499,2.82927
"21","1903_25_TeamNK_TeamB",2,66565,1.591647,4.02768,2.054919
"22","1903_25_TeamNK_TeamB",2,66615,1.861725,-1.992282,1.215342
"23","1903_25_TeamNK_TeamB",2,66665,2.092299,-7.91001,0.310536
"24","1903_25_TeamNK_TeamB",3,79915,-1.639956,57.534,6.27468
"25","1903_25_TeamNK_TeamB",3,79965,-1.439169,50.7681,6.18786
"26","1903_25_TeamNK_TeamB",3,80015,-1.216665,44.0883,6.00876
"27","1903_25_TeamNK_TeamB",3,80065,-0.972441,37.4943,5.73747
"28","1903_25_TeamNK_TeamB",3,80115,-0.706494,30.9861,5.37393
"29","1903_25_TeamNK_TeamB",3,80165,-0.418827,24.56367,4.91817
"30","1903_25_TeamNK_TeamB",3,80215,-0.1094412,18.22716,4.37016
"31","1903_25_TeamNK_TeamB",3,80265,0.2216652,11.97645,3.72993
"32","1903_25_TeamNK_TeamB",3,80315,0.574491,5.81157,2.997468
"33","1903_25_TeamNK_TeamB",3,80365,0.949038,-0.267456,2.172774
"34","1903_25_TeamNK_TeamB",3,80415,3.77661,14.36076,2.262423
"35","1903_25_TeamNK_TeamB",3,80465,5.80146,21.23607,1.746846
"36","1903_25_TeamNK_TeamB",3,80515,7.84764,28.0254,1.11807
"37","1903_25_TeamNK_TeamB",3,80565,9.91518,34.7286,0.376095
"38","1903_25_TeamNK_TeamB",3,80615,11.52909,40.0953,0.937917
"39","1903_25_TeamNK_TeamB",3,80665,13.1736,45.543,1.38357
"40","1903_25_TeamNK_TeamB",3,80715,14.80095,50.9154,1.717944
"41","1903_25_TeamNK_TeamB",3,80765,16.41117,56.2119,1.941042
"42","1903_25_TeamNK_TeamB",3,80815,18.00429,61.4328,2.052867
"43","1903_25_TeamNK_TeamB",3,80865,19.58028,66.5784,2.053413
"44","1903_25_TeamNK_TeamB",3,80915,21.13914,71.6481,1.942686
"45","1903_25_TeamNK_TeamB",3,80965,22.68087,76.6425,1.720683
"46","1903_25_TeamNK_TeamB",3,81015,24.20547,81.561,1.387404
"47","1903_25_TeamNK_TeamB",3,81065,25.71297,86.4039,0.942849
"48","1903_25_TeamNK_TeamB",3,81115,27.20331,91.1715,0.387021
"49","1903_25_TeamNK_TeamB",3,81165,28.42686,95.328,0.69279
"50","1903_25_TeamNK_TeamB",3,81215,29.68839,99.3246,0.968745
"51","1903_25_TeamNK_TeamB",3,81265,30.9381,103.2699,1.139055
"52","1903_25_TeamNK_TeamB",3,81315,32.1762,107.1633,1.20372
"53","1903_25_TeamNK_TeamB",3,81365,33.4026,111.0054,1.162746
"54","1903_25_TeamNK_TeamB",3,81415,34.617,114.7962,1.016124
"55","1903_25_TeamNK_TeamB",3,81465,35.82,118.5351,0.76386
"56","1903_25_TeamNK_TeamB",3,81515,37.011,122.2227,0.405951
"57","1903_25_TeamNK_TeamB",3,81565,38.1903,125.8587,-0.0575991
"58","1903_25_TeamNK_TeamB",3,81615,39.2241,129.4644,0.555795
"59","1903_25_TeamNK_TeamB",3,81665,40.3452,132.7623,0.821961
"60","1903_25_TeamNK_TeamB",3,81715,41.4576,135.8094,0.92073
"61","1903_25_TeamNK_TeamB",3,81765,42.561,138.6054,0.852111
"62","1903_25_TeamNK_TeamB",3,81815,43.6554,141.1503,0.616098
"63","1903_25_TeamNK_TeamB",3,83165,44.4066,141.486,3.94371
"64","1903_25_TeamNK_TeamB",3,83215,45.4947,136.5468,4.46112
"65","1903_25_TeamNK_TeamB",3,83265,46.5558,131.6463,4.90059
"66","1903_25_TeamNK_TeamB",3,83315,47.5899,126.7842,5.26206
"67","1903_25_TeamNK_TeamB",3,83365,48.597,121.9605,5.54556
"68","1903_25_TeamNK_TeamB",3,83415,49.5771,117.1755,5.75109
"69","1903_25_TeamNK_TeamB",3,83465,50.5302,112.4289,5.87865
"70","1903_25_TeamNK_TeamB",3,83515,51.4563,107.721,5.92824
"71","1903_25_TeamNK_TeamB",3,83565,52.3554,103.0512,5.89983
"72","1903_25_TeamNK_TeamB",3,83615,53.2275,98.4204,5.79348
"73","1903_25_TeamNK_TeamB",3,83665,54.0726,93.8277,5.60913
"74","1903_25_TeamNK_TeamB",3,83715,54.8904,89.2737,5.34681
"75","1903_25_TeamNK_TeamB",3,83765,55.6815,84.7581,5.00652
"76","1903_25_TeamNK_TeamB",3,83815,56.4456,80.2812,4.58826
"77","1903_25_TeamNK_TeamB",3,83865,57.1827,75.8427,4.09203
"78","1903_25_TeamNK_TeamB",3,83915,57.8925,71.4426,3.51783
"79","1903_25_TeamNK_TeamB",3,83965,58.5756,67.0812,2.865639
"80","1903_25_TeamNK_TeamB",3,84015,59.2317,62.7582,2.135481
"81","1903_25_TeamNK_TeamB",4,113365,-1.969377,55.6416,6.76752
"82","1903_25_TeamNK_TeamB",4,113415,-1.52967,48.9915,6.35388
"83","1903_25_TeamNK_TeamB",4,113465,-1.10946,42.405,5.9049
"84","1903_25_TeamNK_TeamB",4,113515,-0.70875,35.8815,5.42058
"85","1903_25_TeamNK_TeamB",4,113565,-0.327537,29.42148,4.90086
"86","1903_25_TeamNK_TeamB",4,113615,0.0341775,23.02467,4.34577
"87","1903_25_TeamNK_TeamB",4,113665,0.376395,16.69113,3.75534
"88","1903_25_TeamNK_TeamB",4,113715,0.699117,10.42092,3.12954
"89","1903_25_TeamNK_TeamB",4,113765,1.002339,4.21401,2.468361
"90","1903_25_TeamNK_TeamB",4,113815,1.286064,-1.929597,1.77183
"91","1903_25_TeamNK_TeamB",4,113865,1.550289,-8.00991,1.039932
"92","1903_25_TeamNK_TeamB",5,124715,-1.775628,52.593,6.67377
