"","game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1","1903_26_TeamNH_TeamA3",1,12813,-2.333049,57.1125,6.30381
"2","1903_26_TeamNH_TeamA3",1,12863,-2.131617,50.3961,6.05736
"3","1903_26_TeamNH_TeamA3",1,12913,-1.935801,43.7484,5.77386
"4","1903_26_TeamNH_TeamA3",1,12963,-1.745598,37.17,5.45328
"5","1903_26_TeamNH_TeamA3",1,13013,-1.561005,30.6609,5.09562
"6","1903_26_TeamNH_TeamA3",1,13063,-1.382028,24.22068,4.70091
"7","1903_26_TeamNH_TeamA3",1,13113,-1.208664,17.84961,4.26912
"8","1903_26_TeamNH_TeamA3",1,13163,-1.04091,11.54763,3.80028
"9","1903_26_TeamNH_TeamA3",1,13213,-0.878769,5.31474,3.29436
"10","1903_26_TeamNH_TeamA3",1,13263,-0.722244,-0.849024,2.751384
"11","1903_26_TeamNH_TeamA3",1,13313,-0.571329,-6.94368,2.171337
"12","1903_26_TeamNH_TeamA3",2,24413,-2.207145,55.4139,6.15915
"13","1903_26_TeamNH_TeamA3",2,24463,-1.802874,48.5757,5.80926
"14","1903_26_TeamNH_TeamA3",2,24513,-1.401897,41.8329,5.41497
"15","1903_26_TeamNH_TeamA3",2,24563,-1.004214,35.1852,4.97622
"16","1903_26_TeamNH_TeamA3",2,24613,-0.609822,28.63317,4.49304
"17","1903_26_TeamNH_TeamA3",2,24663,-0.2187243,22.17645,3.96543
"18","1903_26_TeamNH_TeamA3",2,24713,0.1690839,15.8151,3.39339
"19","1903_26_TeamNH_TeamA3",2,24763,0.553599,9.54918,2.776917
"20","1903_26_TeamNH_TeamA3",2,24813,0.934818,3.37863,2.116014
"21","1903_26_TeamNH_TeamA3",2,24863,4.30725,6.1224,-0.102
"22","1903_26_TeamNH_TeamA3",2,24913,7.671,10.8282,-0.204
"23","1903_26_TeamNH_TeamA3",2,24963,11.80779,13.12086,0.443016
"24","1903_26_TeamNH_TeamA3",2,25013,15.03657,16.4235,0.816669
"25","1903_26_TeamNH_TeamA3",2,25063,18.23211,19.68012,1.08963
