"","game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"1","1903_28_TeamNF_TeamA2",1,55751,2.152695,53.3748,6.36618
"2","1903_28_TeamNF_TeamA2",1,55801,1.912773,46.8336,5.92041
"3","1903_28_TeamNF_TeamA2",1,55851,1.700853,40.3584,5.42586
"4","1903_28_TeamNF_TeamA2",1,55901,1.516932,33.9492,4.88253
"5","1903_28_TeamNF_TeamA2",1,55951,1.361013,27.60597,4.29045
"6","1903_28_TeamNF_TeamA2",1,56001,1.233096,21.32868,3.64959
"7","1903_28_TeamNF_TeamA2",1,56051,1.133178,15.1173,2.95995
"8","1903_28_TeamNF_TeamA2",1,56101,1.061262,8.97186,2.221539
"9","1903_28_TeamNF_TeamA2",1,56151,1.017348,2.892357,1.43436
"10","1903_28_TeamNF_TeamA2",1,56201,1.001433,-3.12123,0.598401
"11","1903_28_TeamNF_TeamA2",1,56251,1.013523,-9.06885,-0.2863266
"12","1903_28_TeamNF_TeamA2",2,70601,2.452032,57.1182,6.44616
"13","1903_28_TeamNF_TeamA2",2,70651,2.159592,50.9088,6.21651
"14","1903_28_TeamNF_TeamA2",2,70701,1.88367,44.76,5.92695
"15","1903_28_TeamNF_TeamA2",2,70751,1.624266,38.6718,5.57751
"16","1903_28_TeamNF_TeamA2",2,70801,1.38138,32.6439,5.16819
"17","1903_28_TeamNF_TeamA2",2,70851,1.155015,26.6763,4.69899
"18","1903_28_TeamNF_TeamA2",2,70901,0.945168,20.76924,4.16991
"19","1903_28_TeamNF_TeamA2",2,70951,0.751839,14.92257,3.58092
"20","1903_28_TeamNF_TeamA2",2,71001,0.575028,9.13638,2.932062
"21","1903_28_TeamNF_TeamA2",2,71051,0.414735,3.41064,2.223312
"22","1903_28_TeamNF_TeamA2",2,71101,0.2709621,-2.254689,1.454673
"23","1903_28_TeamNF_TeamA2",3,85651,2.326428,55.7133,6.32607
"24","1903_28_TeamNF_TeamA2",3,85701,2.17836,48.8706,6.03813
"25","1903_28_TeamNF_TeamA2",3,85751,2.049786,42.1149,5.70777
"26","1903_28_TeamNF_TeamA2",3,85801,1.940706,35.4456,5.33499
"27","1903_28_TeamNF_TeamA2",3,85851,1.85112,28.86282,4.91973
"28","1903_28_TeamNF_TeamA2",3,85901,1.781025,22.36674,4.46205
"29","1903_28_TeamNF_TeamA2",3,85951,1.730427,15.95727,3.96195
"30","1903_28_TeamNF_TeamA2",3,86001,1.69932,9.63441,3.4194
"31","1903_28_TeamNF_TeamA2",3,86051,1.687707,3.39816,2.8344
"32","1903_28_TeamNF_TeamA2",3,86101,1.695588,-2.751462,2.206971
"33","1903_28_TeamNF_TeamA2",4,101251,2.375889,56.6739,6.47682
"34","1903_28_TeamNF_TeamA2",4,101301,1.933278,49.899,6.25284
"35","1903_28_TeamNF_TeamA2",4,101351,1.513941,43.1919,5.99175
"36","1903_28_TeamNF_TeamA2",4,101401,1.117875,36.5526,5.69352
"37","1903_28_TeamNF_TeamA2",4,101451,0.74508,29.98113,5.35818
"38","1903_28_TeamNF_TeamA2",4,101501,0.395559,23.47743,4.98573
"39","1903_28_TeamNF_TeamA2",4,101551,0.0693105,17.0415,4.57617
"40","1903_28_TeamNF_TeamA2",4,101601,-0.2336646,10.67337,4.1295
"41","1903_28_TeamNF_TeamA2",4,101651,-0.513366,4.37298,3.64569
"42","1903_28_TeamNF_TeamA2",4,101701,-0.7698,-1.859631,3.12477
"43","1903_28_TeamNF_TeamA2",5,118201,2.21205,53.4855,6.3771
"44","1903_28_TeamNF_TeamA2",5,118251,1.963215,46.6797,6.18525
"45","1903_28_TeamNF_TeamA2",5,118301,1.744977,39.9588,5.94465
"46","1903_28_TeamNF_TeamA2",5,118351,1.557327,33.3225,5.65536
"47","1903_28_TeamNF_TeamA2",5,118401,1.400271,26.77143,5.31738
"48","1903_28_TeamNF_TeamA2",5,118451,1.273806,20.30508,4.93068
"49","1903_28_TeamNF_TeamA2",5,118501,1.177938,13.92366,4.49529
"50","1903_28_TeamNF_TeamA2",5,118551,1.112658,7.62711,4.01115
"51","1903_28_TeamNF_TeamA2",5,118601,1.077972,1.415424,3.47835
"52","1903_28_TeamNF_TeamA2",5,118651,1.07388,-4.71138,2.896824
"53","1903_28_TeamNF_TeamA2",6,134501,2.007507,52.7637,6.33768
"54","1903_28_TeamNF_TeamA2",6,134551,1.744128,46.1022,6.07926
"55","1903_28_TeamNF_TeamA2",6,134601,1.496232,39.5088,5.77491
"56","1903_28_TeamNF_TeamA2",6,134651,1.263822,32.9838,5.42466
"57","1903_28_TeamNF_TeamA2",6,134701,1.046895,26.52672,5.02848
"58","1903_28_TeamNF_TeamA2",6,134751,0.845454,20.13792,4.58637
"59","1903_28_TeamNF_TeamA2",6,134801,0.659499,13.81734,4.09836
"60","1903_28_TeamNF_TeamA2",6,134851,0.48903,7.56492,3.56442
"61","1903_28_TeamNF_TeamA2",6,134901,0.334044,1.380696,2.984559
"62","1903_28_TeamNF_TeamA2",7,151751,2.068323,55.4955,6.40722
"63","1903_28_TeamNF_TeamA2",7,151801,1.836426,49.161,6.12657
"64","1903_28_TeamNF_TeamA2",7,151851,1.608858,42.8565,5.78865
"65","1903_28_TeamNF_TeamA2",7,151901,1.385616,36.5814,5.39343
"66","1903_28_TeamNF_TeamA2",7,151951,1.166703,30.3357,4.94094
"67","1903_28_TeamNF_TeamA2",7,152001,0.952122,24.11979,4.43112
"68","1903_28_TeamNF_TeamA2",7,152051,0.741867,17.93343,3.86403
"69","1903_28_TeamNF_TeamA2",7,152101,0.535941,11.77668,3.23967
"70","1903_28_TeamNF_TeamA2",7,152151,0.334344,5.64951,2.557992
"71","1903_28_TeamNF_TeamA2",7,152201,0.1370739,-0.448101,1.819026
"72","1903_28_TeamNF_TeamA2",8,172751,2.015574,54.2889,6.62466
"73","1903_28_TeamNF_TeamA2",8,172801,1.701483,47.6499,6.13947
"74","1903_28_TeamNF_TeamA2",8,172851,1.393416,41.0796,5.62236
"75","1903_28_TeamNF_TeamA2",8,172901,1.091373,34.5774,5.07324
"76","1903_28_TeamNF_TeamA2",8,172951,0.795351,28.14366,4.49217
"77","1903_28_TeamNF_TeamA2",8,173001,0.505356,21.77829,3.87912
"78","1903_28_TeamNF_TeamA2",8,173051,0.2213862,15.48126,3.23412
"79","1903_28_TeamNF_TeamA2",8,173101,-0.0565605,9.2526,2.557146
"80","1903_28_TeamNF_TeamA2",8,173151,-0.328482,3.09231,1.848207
"81","1903_28_TeamNF_TeamA2",9,191501,2.406717,57.6495,6.53847
"82","1903_28_TeamNF_TeamA2",9,191551,2.044374,51.0903,6.29265
"83","1903_28_TeamNF_TeamA2",9,191601,1.722108,44.5923,6.00144
"84","1903_28_TeamNF_TeamA2",9,191651,1.439916,38.1555,5.66478
"85","1903_28_TeamNF_TeamA2",9,191701,1.197801,31.7802,5.28273
"86","1903_28_TeamNF_TeamA2",9,191751,0.99576,25.46649,4.85523
"87","1903_28_TeamNF_TeamA2",9,191801,0.833799,19.21398,4.38231
"88","1903_28_TeamNF_TeamA2",9,191851,0.711909,13.02285,3.864
"89","1903_28_TeamNF_TeamA2",9,191901,0.630099,6.8931,3.30024
"90","1903_28_TeamNF_TeamA2",9,191951,0.588363,0.824679,2.691084
"91","1903_28_TeamNF_TeamA2",9,192001,-3.00435,9.61863,3.74916
"92","1903_28_TeamNF_TeamA2",9,192051,-6.05541,16.12467,4.47723
"93","1903_28_TeamNF_TeamA2",9,192101,-9.09456,22.53927,5.11206
"94","1903_28_TeamNF_TeamA2",9,192151,-12.12186,28.86243,5.65362
"95","1903_28_TeamNF_TeamA2",9,192201,-15.13731,35.0943,6.10194
"96","1903_28_TeamNF_TeamA2",9,192251,-18.14085,41.2347,6.45702
"97","1903_28_TeamNF_TeamA2",9,192301,-21.13254,47.2836,6.71886
"98","1903_28_TeamNF_TeamA2",9,192351,-24.11238,53.241,6.88743
"99","1903_28_TeamNF_TeamA2",9,192401,-27.08031,59.1069,6.96276
"100","1903_28_TeamNF_TeamA2",9,192451,-30.0363,64.8816,6.94485
"101","1903_28_TeamNF_TeamA2",9,192501,-32.9805,70.5648,6.83367
"102","1903_28_TeamNF_TeamA2",9,192551,-35.913,76.1568,6.62925
"103","1903_28_TeamNF_TeamA2",9,192601,-38.8335,81.657,6.33159
"104","1903_28_TeamNF_TeamA2",9,192651,-41.742,87.066,5.94069
"105","1903_28_TeamNF_TeamA2",9,192701,-44.6388,92.3835,5.45655
"106","1903_28_TeamNF_TeamA2",9,192751,-47.5236,97.6098,4.87914
"107","1903_28_TeamNF_TeamA2",9,192801,-50.3967,102.7443,4.20849
"108","1903_28_TeamNF_TeamA2",9,192851,-53.2578,107.7876,3.44457
"109","1903_28_TeamNF_TeamA2",9,192901,-56.1069,112.7394,2.587431
"110","1903_28_TeamNF_TeamA2",9,192951,-58.9443,117.6,1.637031
"111","1903_28_TeamNF_TeamA2",9,193001,-61.77,122.3688,0.593385
"112","1903_28_TeamNF_TeamA2",9,193051,-64.1025,126.5865,0.987051
"113","1903_28_TeamNF_TeamA2",9,193101,-66.1293,130.1271,1.842759
"114","1903_28_TeamNF_TeamA2",9,193151,-68.1489,133.6299,2.599887
"115","1903_28_TeamNF_TeamA2",9,193201,-70.1607,137.0949,3.25842
"116","1903_28_TeamNF_TeamA2",9,193251,-72.1653,140.5218,3.8184
"117","1903_28_TeamNF_TeamA2",9,193301,-74.1621,143.9112,4.27977
"118","1903_28_TeamNF_TeamA2",9,193351,-76.1517,147.2628,4.64259
"119","1903_28_TeamNF_TeamA2",9,193401,-78.1338,150.5763,4.9068
"120","1903_28_TeamNF_TeamA2",9,193451,-80.1081,153.8523,5.07243
"121","1903_28_TeamNF_TeamA2",9,193501,-82.0752,157.0902,5.13948
"122","1903_28_TeamNF_TeamA2",9,193551,-84.0348,160.2906,5.10795
"123","1903_28_TeamNF_TeamA2",9,193601,-85.9869,163.4529,4.97784
"124","1903_28_TeamNF_TeamA2",9,193651,-87.9315,166.5777,4.74915
"125","1903_28_TeamNF_TeamA2",9,193701,-89.8686,169.6644,4.42188
"126","1903_28_TeamNF_TeamA2",9,193751,-91.7982,172.7136,3.99603
"127","1903_28_TeamNF_TeamA2",9,193801,-93.7203,175.7247,3.4716
"128","1903_28_TeamNF_TeamA2",9,193851,-95.6349,178.698,2.848569
"129","1903_28_TeamNF_TeamA2",9,193901,-97.542,181.6335,2.12697
"130","1903_28_TeamNF_TeamA2",9,193951,-99.4416,184.5315,1.306782
"131","1903_28_TeamNF_TeamA2",9,194001,-101.334,187.3914,0.38802
"132","1903_28_TeamNF_TeamA2",9,194051,-102.657,189.8505,0.357084
"133","1903_28_TeamNF_TeamA2",9,194101,-104.2788,192.3195,0.639576
"134","1903_28_TeamNF_TeamA2",9,194151,-105.9864,194.7102,0.925023
