"game_str","play_per_game","timestamp","player_position","event_code","ball_position_x","ball_position_y","ball_position_z","inning","top_bottom_inning","batter","first_baserunner","second_baserunner","third_baserunner","inning_2","top_bottom_inning2","batter_2","first_baserunner_2","second_baserunner_2","third_baserunner_2"
"1900_05_TeamKK_TeamB","186","7137810","1","2","-19.3455","34.8573","0",6,"Bottom",1041,2653,2196,0,6,"Bottom",2488,1041,0,2653
"1901_14_TeamLL_TeamB","7","211702","2","2","9.0753","23.7543","0",1,"Top",7468,5417,0,0,1,"Top",6082,0,5417,0
"1902_06_TeamML_TeamB","100","3348824","2","2","4.02507","13.05201","0.0471009",4,"Bottom",1124,2646,0,0,4,"Bottom",1650,1124,2646,0
"1902_08_TeamMJ_TeamB","183","7191344","1","2","8.89785","31.4934","0.2302893",6,"Top",8574,9087,0,0,6,"Top",3238,0,9087,0
"1902_18_TeamMB_TeamA1","63","2168204","5","2","-35.745","40.7502","-0.2641794",2,"Bottom",1195,2137,1059,0,2,"Bottom",1181,0,2137,1059
"1902_22_TeamMA_TeamA1","15","756040","1","2","19.4094","46.2531","0",1,"Top",3041,6057,7038,0,1,"Top",7415,0,6057,7038
"1902_24_TeamMA_TeamA1","5","117044","1","2","22.8336","38.7732","0",1,"Top",6057,7038,0,0,1,"Top",3041,0,7038,0
"1902_25_TeamMH_TeamA3","50","1457412","3","2","16.88424","42.9141","3.82536",2,"Bottom",2236,1538,0,0,2,"Bottom",2163,0,2236,1538
"1902_28_TeamMC_TeamA1","37","1283805","2","2","-10.3632","14.3154","0",2,"Top",5222,4711,8762,0,2,"Top",8445,0,5222,0
"1903_04_TeamNC_TeamA1","3","65869","1","2","16.6596","42.6717","0",1,"Top",3129,5654,0,0,1,"Top",6063,0,5654,0
"1903_07_TeamND_TeamA2","306","10078873","1","2","15.2775","35.2431","0",9,"Top",6902,6875,9465,0,9,"Top",6851,0,6875,9465
"1903_08_TeamNJ_TeamB","136","4704317","1","2","-26.22381","30.813","-0.00531816",6,"Top",6266,3020,0,0,6,"Top",5410,6266,3020,0
"1903_08_TeamNJ_TeamB","214","7644017","5","2","-39.2946","49.2459","-0.351522",9,"Top",6878,8169,0,0,9,"Top",6764,0,8169,0
"1903_09_TeamNJ_TeamB","218","8388215","1","2","-0.374457","39.1101","-0.811551",8,"Bottom",2619,2925,0,0,8,"Bottom",2235,0,2925,0
"1903_16_TeamNI_TeamA3","238","7517868","1","2","-13.2774","38.4705","0",8,"Top",8020,8557,7293,0,8,"Top",9325,0,8557,7293
"1903_22_TeamNA_TeamA1","84","2282613","1","2","-28.7853","41.7813","0",3,"Top",8977,5478,0,0,3,"Top",9609,0,5478,0
"1903_25_TeamNK_TeamB","179","6651965","3","2","18.2739","41.4564","0",6,"Bottom",1918,2235,1144,0,6,"Bottom",1080,1918,2235,1144
"1903_28_TeamNF_TeamA2","23","754701","1","2","12.7098","41.0916","0",1,"Bottom",1751,1181,0,0,1,"Bottom",1557,0,1181,0
"1903_29_TeamNF_TeamA2","100","3328929","1","2","5.72259","45.3033","-0.2383992",4,"Top",6689,4974,0,0,4,"Top",4454,0,4974,0
"1903_30_TeamNB_TeamA1","87","2584834","1","2","-16.8234","34.7865","0",2,"Bottom",1771,1945,0,0,2,"Bottom",1286,0,1945,0
"1903_30_TeamNF_TeamA2","30","767247","5","2","-27.0468","39.4221","0",1,"Bottom",1181,1972,0,0,1,"Bottom",1557,0,1972,0
"1903_30_TeamNF_TeamA2","242","7887847","1","2","10.3497","44.1537","0",9,"Top",3603,6689,0,0,9,"Top",7004,3603,0,0
