"game_str","id","play_id","at_bat","play_per_game","timestamp","player_position","event_code","ball_position_x","ball_position_y","ball_position_z","first_baserunner","second_baserunner"
"1900_05_TeamKK_TeamB","414",119,"NA",119,4574996,1,2,5.4885,30.9123,0.35184,9235,0
"1900_05_TeamKK_TeamB","663",186,"NA",186,7137810,1,2,-19.3455,34.8573,0,2653,2196
"1901_01_TeamLG_TeamA3","903",240,"NA",240,7935581,1,2,-25.4613,34.1382,0,7902,0
"1901_03_TeamLG_TeamA3","205",59,"NA",62,1880728,1,2,-14.4774,46.512,2.307024,1851,0
"1901_03_TeamLG_TeamA3","929",238,"NA",252,9065553,1,2,-10.5561,34.6242,0,5626,0
"1901_04_TeamLI_TeamA3","29",9,"NA",9,201944,1,2,2.345889,43.6308,1.630326,9389,0
"1901_07_TeamLK_TeamB","781",205,"NA",207,7449697,1,2,2.986431,32.0772,0.406236,1450,0
"1901_11_TeamLJ_TeamB","204",55,"NA",55,1774794,1,2,-26.67141,33.1341,0.306294,9679,0
"1901_11_TeamLJ_TeamB","455",123,"NA",123,4360892,1,2,6.16527,32.9628,1.574835,2614,0
"1901_14_TeamLL_TeamB","27",7,"NA",7,211702,2,2,9.0753,23.7543,0,5417,0
"1901_17_TeamLH_TeamA3","907",243,"NA",248,8324882,1,2,-6.10497,35.6991,-0.427491,2939,0
"1902_01_TeamMG_TeamA3","479",125,"NA",125,3881043,1,2,-4.17234,37.9476,0.0847326,1684,2006
"1902_06_TeamML_TeamB","388",99,"30",100,3348824,2,2,4.02507,13.05201,0.0471009,2646,0
"1902_08_TeamMJ_TeamB","1488",386,"101",386,14820105,2,2,-10.51884,19.48155,-0.2038695,1180,0
"1902_08_TeamMJ_TeamB","708",183,"46",183,7191344,1,2,8.89785,31.4934,0.2302893,9087,0
"1902_13_TeamMD_TeamA2","323",78,"25",78,2812730,1,2,11.38917,49.5687,1.926873,2255,0
"1902_13_TeamMK_TeamB","228",52,"18",52,1956760,3,2,13.7397,36.5637,0,1180,1650
"1902_18_TeamMB_TeamA1","250",63,"16",63,2168204,5,2,-35.745,40.7502,-0.2641794,2137,1059
"1902_19_TeamME_TeamA2","647",178,"37",178,6203502,1,2,-27.60264,35.748,0.1986252,2526,0
"1902_22_TeamMA_TeamA1","60",15,"4",15,756040,1,2,19.4094,46.2531,0,6057,7038
"1902_24_TeamMA_TeamA1","23",5,"2",5,117044,1,2,22.8336,38.7732,0,7038,0
"1902_24_TeamMA_TeamA1","963",250,"60",250,8562367,2,2,-4.17213,21.13167,-0.1097883,1600,2973
"1902_25_TeamMH_TeamA3","163",49,"12",50,1457412,3,2,16.88424,42.9141,3.82536,1538,0
"1902_26_TeamMH_TeamA3","1226",306,"78",306,10465908,3,2,37.95,41.1642,-0.0737163,2190,1399
"1902_26_TeamMH_TeamA3","884",219,"59",219,7256856,1,2,7.14564,47.7924,-0.379908,2141,0
"1902_28_TeamMC_TeamA1","162",37,"13",37,1283805,2,2,-10.3632,14.3154,0,4711,8762
"1903_04_TeamNC_TeamA1","20",3,"2",3,65869,1,2,16.6596,42.6717,0,5654,0
"1903_07_TeamND_TeamA2","1112",305,"70",306,10078873,1,2,15.2775,35.2431,0,6875,9465
"1903_08_TeamNJ_TeamB","529",135,"41",136,4704317,1,2,-26.22381,30.813,-0.00531816,3020,0
"1903_08_TeamNJ_TeamB","826",213,"65",214,7644017,5,2,-39.2946,49.2459,-0.351522,8169,0
"1903_09_TeamNJ_TeamB","830",215,"59",218,8388215,1,2,-0.374457,39.1101,-0.811551,2925,0
"1903_16_TeamNI_TeamA3","934",237,"64",238,7517868,1,2,-13.2774,38.4705,0,8557,7293
"1903_22_TeamNA_TeamA1","342",83,"21",84,2282613,1,2,-28.7853,41.7813,0,5478,0
"1903_25_TeamNK_TeamB","753",172,"54",179,6651965,3,2,18.2739,41.4564,0,2235,1144
"1903_28_TeamNF_TeamA2","96",23,"7",23,754701,1,2,12.7098,41.0916,0,1181,0
"1903_29_TeamNF_TeamA2","375",100,"24",100,3328929,1,2,5.72259,45.3033,-0.2383992,4974,0
"1903_30_TeamNB_TeamA1","336",85,"23",87,2584834,1,2,-16.8234,34.7865,0,1945,0
"1903_30_TeamNF_TeamA2","108",30,"6",30,767247,5,2,-27.0468,39.4221,0,1972,0
"1903_30_TeamNF_TeamA2","940",242,"62",242,7887847,1,2,10.3497,44.1537,0,6689,0
