"","game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"1","1901_01_TeamLG_TeamA3",1,NA,1,41997,1,1
"2","1901_01_TeamLG_TeamA3",1,NA,1,42447,2,2
"3","1901_01_TeamLG_TeamA3",1,NA,1,42447,0,5
"4","1901_01_TeamLG_TeamA3",2,NA,2,54697,1,1
"5","1901_01_TeamLG_TeamA3",2,NA,2,55197,2,2
"6","1901_01_TeamLG_TeamA3",2,NA,2,55197,0,5
"7","1901_01_TeamLG_TeamA3",3,NA,3,70547,1,1
"8","1901_01_TeamLG_TeamA3",3,NA,3,70997,10,4
"9","1901_01_TeamLG_TeamA3",3,NA,3,71047,255,16
"10","1901_01_TeamLG_TeamA3",3,NA,3,71447,255,16
"11","1901_01_TeamLG_TeamA3",3,NA,3,71697,255,16
"12","1901_01_TeamLG_TeamA3",3,NA,3,71997,255,16
"13","1901_01_TeamLG_TeamA3",3,NA,3,72347,255,16
"14","1901_01_TeamLG_TeamA3",3,NA,3,72697,255,16
"15","1901_01_TeamLG_TeamA3",3,NA,3,74847,9,2
"16","1901_01_TeamLG_TeamA3",3,NA,3,75997,9,3
"17","1901_01_TeamLG_TeamA3",3,NA,3,77347,4,2
"18","1901_01_TeamLG_TeamA3",3,NA,3,77597,0,5
"19","1901_01_TeamLG_TeamA3",4,NA,4,107097,1,1
"20","1901_01_TeamLG_TeamA3",4,NA,4,107647,2,2
"21","1901_01_TeamLG_TeamA3",4,NA,4,107647,0,5
"22","1901_01_TeamLG_TeamA3",5,NA,5,123797,1,1
"23","1901_01_TeamLG_TeamA3",5,NA,5,124297,2,2
"24","1901_01_TeamLG_TeamA3",5,NA,5,124297,0,5
"25","1901_01_TeamLG_TeamA3",6,NA,6,141897,1,1
"26","1901_01_TeamLG_TeamA3",6,NA,6,142297,10,4
"27","1901_01_TeamLG_TeamA3",6,NA,6,142397,0,5
"28","1901_01_TeamLG_TeamA3",7,NA,7,177047,1,1
"29","1901_01_TeamLG_TeamA3",7,NA,7,177597,0,5
"30","1901_01_TeamLG_TeamA3",7,NA,7,177597,2,2
"31","1901_01_TeamLG_TeamA3",8,NA,8,202247,1,1
"32","1901_01_TeamLG_TeamA3",8,NA,8,202797,0,5
"33","1901_01_TeamLG_TeamA3",8,NA,8,202797,2,2
"34","1901_01_TeamLG_TeamA3",9,NA,9,221447,1,1
"35","1901_01_TeamLG_TeamA3",9,NA,9,221997,0,5
"36","1901_01_TeamLG_TeamA3",9,NA,9,221997,2,2
"37","1901_01_TeamLG_TeamA3",10,NA,10,253997,1,1
"38","1901_01_TeamLG_TeamA3",10,NA,10,254447,0,5
"39","1901_01_TeamLG_TeamA3",10,NA,10,254447,2,2
"40","1901_01_TeamLG_TeamA3",11,NA,11,275497,1,1
"41","1901_01_TeamLG_TeamA3",11,NA,11,275997,2,2
"42","1901_01_TeamLG_TeamA3",11,NA,11,275997,0,5
"43","1901_01_TeamLG_TeamA3",12,NA,12,296797,1,1
"44","1901_01_TeamLG_TeamA3",12,NA,12,297247,2,2
"45","1901_01_TeamLG_TeamA3",12,NA,12,297247,0,5
"46","1901_01_TeamLG_TeamA3",13,NA,13,315497,1,1
"47","1901_01_TeamLG_TeamA3",13,NA,13,315997,10,4
"48","1901_01_TeamLG_TeamA3",13,NA,13,316497,0,5
"49","1901_01_TeamLG_TeamA3",14,NA,14,456276,1,1
"50","1901_01_TeamLG_TeamA3",14,NA,14,456776,2,2
"51","1901_01_TeamLG_TeamA3",14,NA,14,456776,0,5
"52","1901_01_TeamLG_TeamA3",15,NA,15,510476,1,1
"53","1901_01_TeamLG_TeamA3",15,NA,15,510876,10,4
