"","game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1","1900_09_TeamKK_TeamB","TeamB","TeamKK",NA,1,1,"Top",1571,2398,1334,2614,2653,1592,2279,2424,2889,9235,0,0,0
"2","1900_09_TeamKK_TeamB","TeamB","TeamKK",NA,2,1,"Top",1571,2398,1334,2614,2653,1592,2279,2424,2889,9235,0,0,0
"3","1900_09_TeamKK_TeamB","TeamB","TeamKK",NA,3,1,"Top",1571,2398,1334,2614,2653,1592,2279,2424,2889,9235,0,0,0
"4","1900_09_TeamKK_TeamB","TeamB","TeamKK",NA,4,1,"Top",1571,2398,1334,2614,2653,1592,2279,2424,2889,6608,9235,0,0
"5","1900_09_TeamKK_TeamB","TeamB","TeamKK",NA,6,1,"Top",1571,2398,1334,2614,2653,1592,2279,2424,2889,6608,9235,0,0
"6","1900_09_TeamKK_TeamB","TeamB","TeamKK",NA,7,1,"Top",1571,2398,1334,2614,2653,1592,2279,2424,2889,9046,9235,0,0
"7","1900_09_TeamKK_TeamB","TeamB","TeamKK",NA,11,1,"Top",1571,2398,1334,2614,2653,1592,2279,2424,2889,9046,9235,0,0
"8","1900_09_TeamKK_TeamB","TeamB","TeamKK",NA,12,1,"Top",1571,2398,1334,2614,2653,1592,2279,2424,2889,6424,9235,0,0
"9","1900_09_TeamKK_TeamB","TeamB","TeamKK",NA,13,1,"Top",1571,2398,1334,2614,2653,1592,2279,2424,2889,6424,9235,0,0
"10","1900_09_TeamKK_TeamB","TeamB","TeamKK",NA,15,1,"Top",1571,2398,1334,2614,2653,1592,2279,2424,2889,6424,9235,0,0
"11","1900_09_TeamKK_TeamB","TeamB","TeamKK",NA,16,1,"Top",1571,2398,1334,2614,2653,1592,2279,2424,2889,6424,9235,0,0
"12","1900_09_TeamKK_TeamB","TeamB","TeamKK",NA,17,1,"Bottom",8708,8665,6424,8587,7918,6861,9583,6608,9235,1592,0,0,0
"13","1900_09_TeamKK_TeamB","TeamB","TeamKK",NA,18,1,"Bottom",8708,8665,6424,8587,7918,6861,9583,6608,9235,1592,0,0,0
"14","1900_09_TeamKK_TeamB","TeamB","TeamKK",NA,19,1,"Bottom",8708,8665,6424,8587,7918,6861,9583,6608,9235,1592,0,0,0
"15","1900_09_TeamKK_TeamB","TeamB","TeamKK",NA,20,1,"Bottom",8708,8665,6424,8587,7918,6861,9583,6608,9235,1592,0,0,0
"16","1900_09_TeamKK_TeamB","TeamB","TeamKK",NA,21,1,"Bottom",8708,8665,6424,8587,7918,6861,9583,6608,9235,1592,0,0,0
