"","game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1","1901_09_TeamLK_TeamB","TeamB","TeamLK",NA,2,1,"Top",1861,1041,1334,1650,2818,1748,2227,1450,1657,7830,0,0,0
"2","1901_09_TeamLK_TeamB","TeamB","TeamLK",NA,4,1,"Top",1861,1041,1334,1650,2818,1748,2227,1450,1657,7908,0,0,0
"3","1901_09_TeamLK_TeamB","TeamB","TeamLK",NA,5,1,"Top",1861,1041,1334,1650,2818,1748,2227,1450,1657,6607,0,0,0
"4","1901_09_TeamLK_TeamB","TeamB","TeamLK",NA,8,1,"Top",1861,1041,1334,1650,2818,1748,2227,1450,1657,6607,0,0,0
"5","1901_09_TeamLK_TeamB","TeamB","TeamLK",NA,10,1,"Top",1861,1041,1334,1650,2818,1748,2227,1450,1657,6607,0,0,0
"6","1901_09_TeamLK_TeamB","TeamB","TeamLK",NA,11,1,"Bottom",6922,6607,5953,8522,4893,7830,7908,8568,5933,1659,0,0,0
"7","1901_09_TeamLK_TeamB","TeamB","TeamLK",NA,12,1,"Bottom",6922,6607,5953,8522,4893,7830,7908,8568,5933,1659,0,0,0
"8","1901_09_TeamLK_TeamB","TeamB","TeamLK",NA,13,1,"Bottom",6922,6607,5953,8522,4893,7830,7908,8568,5933,1659,0,0,0
"9","1901_09_TeamLK_TeamB","TeamB","TeamLK",NA,14,1,"Bottom",6922,6607,5953,8522,4893,7830,7908,8568,5933,1650,0,0,0
"10","1901_09_TeamLK_TeamB","TeamB","TeamLK",NA,15,1,"Bottom",6922,6607,5953,8522,4893,7830,7908,8568,5933,1650,0,0,0
"11","1901_09_TeamLK_TeamB","TeamB","TeamLK",NA,16,1,"Bottom",6922,6607,5953,8522,4893,7830,7908,8568,5933,1650,0,0,0
"12","1901_09_TeamLK_TeamB","TeamB","TeamLK",NA,17,1,"Bottom",6922,6607,5953,8522,4893,7830,7908,8568,5933,2227,0,0,0
"13","1901_09_TeamLK_TeamB","TeamB","TeamLK",NA,18,2,"Top",1861,1041,1334,1650,2818,1748,2227,1450,1657,5933,0,0,0
