"","game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1","1901_11_TeamLJ_TeamB","TeamB","TeamLJ",NA,1,1,"Top",1768,2908,1334,2804,1650,1748,2227,1450,1657,4166,0,0,0
"2","1901_11_TeamLJ_TeamB","TeamB","TeamLJ",NA,2,1,"Top",1768,2908,1334,2804,1650,1748,2227,1450,1657,4166,0,0,0
"3","1901_11_TeamLJ_TeamB","TeamB","TeamLJ",NA,3,1,"Top",1768,2908,1334,2804,1650,1748,2227,1450,1657,4166,0,0,0
"4","1901_11_TeamLJ_TeamB","TeamB","TeamLJ",NA,4,1,"Top",1768,2908,1334,2804,1650,1748,2227,1450,1657,6194,0,4166,0
"5","1901_11_TeamLJ_TeamB","TeamB","TeamLJ",NA,5,1,"Top",1768,2908,1334,2804,1650,1748,2227,1450,1657,6194,0,4166,0
"6","1901_11_TeamLJ_TeamB","TeamB","TeamLJ",NA,8,1,"Top",1768,2908,1334,2804,1650,1748,2227,1450,1657,6194,0,4166,0
"7","1901_11_TeamLJ_TeamB","TeamB","TeamLJ",NA,9,1,"Top",1768,2908,1334,2804,1650,1748,2227,1450,1657,6194,0,4166,0
"8","1901_11_TeamLJ_TeamB","TeamB","TeamLJ",NA,10,1,"Top",1768,2908,1334,2804,1650,1748,2227,1450,1657,6194,0,4166,0
"9","1901_11_TeamLJ_TeamB","TeamB","TeamLJ",NA,11,1,"Top",1768,2908,1334,2804,1650,1748,2227,1450,1657,6194,0,4166,0
"10","1901_11_TeamLJ_TeamB","TeamB","TeamLJ",NA,12,1,"Top",1768,2908,1334,2804,1650,1748,2227,1450,1657,9850,0,4166,0
"11","1901_11_TeamLJ_TeamB","TeamB","TeamLJ",NA,13,1,"Top",1768,2908,1334,2804,1650,1748,2227,1450,1657,9850,0,4166,0
"12","1901_11_TeamLJ_TeamB","TeamB","TeamLJ",NA,15,1,"Top",1768,2908,1334,2804,1650,1748,2227,1450,1657,4723,0,4166,0
"13","1901_11_TeamLJ_TeamB","TeamB","TeamLJ",NA,16,1,"Top",1768,2908,1334,2804,1650,1748,2227,1450,1657,4723,0,4166,0
