"","game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1","1902_04_TeamML_TeamB","TeamB","TeamML",1,1,1,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,4585,0,0,0
"2","1902_04_TeamML_TeamB","TeamB","TeamML",1,2,1,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,4585,0,0,0
"3","1902_04_TeamML_TeamB","TeamB","TeamML",1,3,1,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,4585,0,0,0
"4","1902_04_TeamML_TeamB","TeamB","TeamML",1,4,1,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,4585,0,0,0
"5","1902_04_TeamML_TeamB","TeamB","TeamML",1,5,1,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,4585,0,0,0
"6","1902_04_TeamML_TeamB","TeamB","TeamML",2,6,1,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,7705,0,0,0
"7","1902_04_TeamML_TeamB","TeamB","TeamML",2,7,1,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,7705,0,0,0
"8","1902_04_TeamML_TeamB","TeamB","TeamML",2,8,1,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,7705,0,0,0
"9","1902_04_TeamML_TeamB","TeamB","TeamML",3,9,1,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,7756,0,0,0
"10","1902_04_TeamML_TeamB","TeamB","TeamML",3,10,1,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,7756,0,0,0
"11","1902_04_TeamML_TeamB","TeamB","TeamML",4,11,1,"Bottom",6129,9602,4422,6528,7756,6888,4585,7705,6410,1748,0,0,0
"12","1902_04_TeamML_TeamB","TeamB","TeamML",4,12,1,"Bottom",6129,9602,4422,6528,7756,6888,4585,7705,6410,1748,0,0,0
"13","1902_04_TeamML_TeamB","TeamB","TeamML",4,13,1,"Bottom",6129,9602,4422,6528,7756,6888,4585,7705,6410,1748,0,0,0
"14","1902_04_TeamML_TeamB","TeamB","TeamML",5,14,1,"Bottom",6129,9602,4422,6528,7756,6888,4585,7705,6410,1607,0,0,0
"15","1902_04_TeamML_TeamB","TeamB","TeamML",5,15,1,"Bottom",6129,9602,4422,6528,7756,6888,4585,7705,6410,1607,0,0,0
"16","1902_04_TeamML_TeamB","TeamB","TeamML",6,16,1,"Bottom",6129,9602,4422,6528,7756,6888,4585,7705,6410,1918,0,0,0
"17","1902_04_TeamML_TeamB","TeamB","TeamML",6,17,1,"Bottom",6129,9602,4422,6528,7756,6888,4585,7705,6410,1918,0,0,0
"18","1902_04_TeamML_TeamB","TeamB","TeamML",6,18,1,"Bottom",6129,9602,4422,6528,7756,6888,4585,7705,6410,1918,0,0,0
"19","1902_04_TeamML_TeamB","TeamB","TeamML",7,19,1,"Bottom",6129,9602,4422,6528,7756,6888,4585,7705,6410,2646,0,1918,0
"20","1902_04_TeamML_TeamB","TeamB","TeamML",8,20,2,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,4422,0,0,0
"21","1902_04_TeamML_TeamB","TeamB","TeamML",8,21,2,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,4422,0,0,0
"22","1902_04_TeamML_TeamB","TeamB","TeamML",8,22,2,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,4422,0,0,0
"23","1902_04_TeamML_TeamB","TeamB","TeamML",8,23,2,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,4422,0,0,0
"24","1902_04_TeamML_TeamB","TeamB","TeamML",8,24,2,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,4422,0,0,0
"25","1902_04_TeamML_TeamB","TeamB","TeamML",8,25,2,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,4422,0,0,0
"26","1902_04_TeamML_TeamB","TeamB","TeamML",9,26,2,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,6528,0,0,0
"27","1902_04_TeamML_TeamB","TeamB","TeamML",9,27,2,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,6528,0,0,0
"28","1902_04_TeamML_TeamB","TeamB","TeamML",9,28,2,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,6528,0,0,0
"29","1902_04_TeamML_TeamB","TeamB","TeamML",9,29,2,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,6528,0,0,0
"30","1902_04_TeamML_TeamB","TeamB","TeamML",9,30,2,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,6528,0,0,0
"31","1902_04_TeamML_TeamB","TeamB","TeamML",9,31,2,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,6528,0,0,0
"32","1902_04_TeamML_TeamB","TeamB","TeamML",9,32,2,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,6528,0,0,0
"33","1902_04_TeamML_TeamB","TeamB","TeamML",9,33,2,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,6528,0,0,0
"34","1902_04_TeamML_TeamB","TeamB","TeamML",10,34,2,"Top",2764,2774,1918,1748,2646,1607,1930,2183,1124,9602,0,0,0
