"","game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",1,1,1,"Top",2359,2925,1918,1607,1748,1650,1930,2183,1124,8642,0,0,0
"2","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",1,2,1,"Top",2359,2925,1918,1607,1748,1650,1930,2183,1124,8642,0,0,0
"3","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",1,3,1,"Top",2359,2925,1918,1607,1748,1650,1930,2183,1124,8642,0,0,0
"4","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",1,4,1,"Top",2359,2925,1918,1607,1748,1650,1930,2183,1124,8642,0,0,0
"5","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",1,5,1,"Top",2359,2925,1918,1607,1748,1650,1930,2183,1124,8642,0,0,0
"6","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",2,6,1,"Top",2359,2925,1918,1607,1748,1650,1930,2183,1124,8240,0,0,0
"7","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",2,7,1,"Top",2359,2925,1918,1607,1748,1650,1930,2183,1124,8240,0,0,0
"8","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",2,8,1,"Top",2359,2925,1918,1607,1748,1650,1930,2183,1124,8240,0,0,0
"9","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",3,9,1,"Top",2359,2925,1918,1607,1748,1650,1930,2183,1124,7023,0,0,0
"10","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",4,10,1,"Top",2359,2925,1918,1607,1748,1650,1930,2183,1124,4086,7023,0,0
"11","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",4,11,1,"Top",2359,2925,1918,1607,1748,1650,1930,2183,1124,4086,7023,0,0
"12","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",4,12,1,"Top",2359,2925,1918,1607,1748,1650,1930,2183,1124,4086,7023,0,0
"13","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",5,13,1,"Bottom",9563,3238,9384,9087,4086,8240,7023,8642,7679,1748,0,0,0
"14","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",5,14,1,"Bottom",9563,3238,9384,9087,4086,8240,7023,8642,7679,1748,0,0,0
"15","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",5,15,1,"Bottom",9563,3238,9384,9087,4086,8240,7023,8642,7679,1748,0,0,0
"16","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",5,16,1,"Bottom",9563,3238,9384,9087,4086,8240,7023,8642,7679,1748,0,0,0
"17","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",6,17,1,"Bottom",9563,3238,9384,9087,4086,8240,7023,8642,7679,1607,0,0,0
"18","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",6,18,1,"Bottom",9563,3238,9384,9087,4086,8240,7023,8642,7679,1607,0,0,0
"19","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",6,19,1,"Bottom",9563,3238,9384,9087,4086,8240,7023,8642,7679,1607,0,0,0
"20","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",6,20,1,"Bottom",9563,3238,9384,9087,4086,8240,7023,8642,7679,1607,0,0,0
"21","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",7,21,1,"Bottom",9563,3238,9384,9087,4086,8240,7023,8642,7679,1918,1607,0,0
"22","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",8,22,1,"Bottom",9563,3238,9384,9087,4086,8240,7023,8642,7679,2646,1918,1607,0
"23","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",9,23,1,"Bottom",9563,3238,9384,9087,4086,8240,7023,8642,7679,1124,2646,0,1607
"24","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",9,24,1,"Bottom",9563,3238,9384,9087,4086,8240,7023,8642,7679,1124,2646,0,1607
"25","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",9,26,1,"Bottom",9563,3238,9384,9087,4086,8240,7023,8642,7679,1124,2646,0,1607
"26","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",10,27,1,"Bottom",9563,3238,9384,9087,4086,8240,7023,8642,7679,1650,1124,2646,0
"27","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",10,28,1,"Bottom",9563,3238,9384,9087,4086,8240,7023,8642,7679,1650,1124,2646,0
"28","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",11,29,2,"Top",2359,2925,1918,1607,1748,1650,1930,2183,1124,9969,0,0,0
"29","1902_07_TeamMJ_TeamB","TeamB","TeamMJ",11,30,2,"Top",2359,2925,1918,1607,1748,1650,1930,2183,1124,9969,0,0,0
