"","game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",1,1,1,"Top",1843,1195,2137,2255,1771,1181,1600,2973,1059,7511,0,0,0
"2","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",1,2,1,"Top",1843,1195,2137,2255,1771,1181,1600,2973,1059,7511,0,0,0
"3","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",1,3,1,"Top",1843,1195,2137,2255,1771,1181,1600,2973,1059,7511,0,0,0
"4","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",1,4,1,"Top",1843,1195,2137,2255,1771,1181,1600,2973,1059,7511,0,0,0
"5","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",2,5,1,"Top",1843,1195,2137,2255,1771,1181,1600,2973,1059,7815,0,7511,0
"6","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",2,6,1,"Top",1843,1195,2137,2255,1771,1181,1600,2973,1059,7815,0,7511,0
"7","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",3,7,1,"Top",1843,1195,2137,2255,1771,1181,1600,2973,1059,6222,0,0,0
"8","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",3,8,1,"Top",1843,1195,2137,2255,1771,1181,1600,2973,1059,6222,0,0,0
"9","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",3,9,1,"Top",1843,1195,2137,2255,1771,1181,1600,2973,1059,6222,0,0,0
"10","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",4,10,1,"Top",1843,1195,2137,2255,1771,1181,1600,2973,1059,4278,0,6222,0
"11","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",4,11,1,"Top",1843,1195,2137,2255,1771,1181,1600,2973,1059,4278,0,6222,0
"12","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",4,12,1,"Top",1843,1195,2137,2255,1771,1181,1600,2973,1059,4278,0,6222,0
"13","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",4,13,1,"Top",1843,1195,2137,2255,1771,1181,1600,2973,1059,4278,0,6222,0
"14","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",4,14,1,"Top",1843,1195,2137,2255,1771,1181,1600,2973,1059,4278,0,6222,0
"15","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",4,15,1,"Top",1843,1195,2137,2255,1771,1181,1600,2973,1059,4278,0,6222,0
"16","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",5,16,1,"Bottom",3240,7764,6222,7815,4050,6549,7606,7511,4278,1181,0,0,0
"17","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",5,17,1,"Bottom",3240,7764,6222,7815,4050,6549,7606,7511,4278,1181,0,0,0
"18","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",5,18,1,"Bottom",3240,7764,6222,7815,4050,6549,7606,7511,4278,1181,0,0,0
"19","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",5,19,1,"Bottom",3240,7764,6222,7815,4050,6549,7606,7511,4278,1181,0,0,0
"20","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",5,20,1,"Bottom",3240,7764,6222,7815,4050,6549,7606,7511,4278,1181,0,0,0
"21","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",6,21,1,"Bottom",3240,7764,6222,7815,4050,6549,7606,7511,4278,2255,0,0,0
"22","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",6,22,1,"Bottom",3240,7764,6222,7815,4050,6549,7606,7511,4278,2255,0,0,0
"23","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",6,23,1,"Bottom",3240,7764,6222,7815,4050,6549,7606,7511,4278,2255,0,0,0
"24","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",6,24,1,"Bottom",3240,7764,6222,7815,4050,6549,7606,7511,4278,2255,0,0,0
"25","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",6,25,1,"Bottom",3240,7764,6222,7815,4050,6549,7606,7511,4278,2255,0,0,0
"26","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",7,26,1,"Bottom",3240,7764,6222,7815,4050,6549,7606,7511,4278,1600,0,0,0
"27","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",7,27,1,"Bottom",3240,7764,6222,7815,4050,6549,7606,7511,4278,1600,0,0,0
"28","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",7,28,1,"Bottom",3240,7764,6222,7815,4050,6549,7606,7511,4278,1600,0,0,0
"29","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",8,29,1,"Bottom",3240,7764,6222,7815,4050,6549,7606,7511,4278,2973,1600,0,0
"30","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",8,30,1,"Bottom",3240,7764,6222,7815,4050,6549,7606,7511,4278,2973,1600,0,0
"31","1902_18_TeamMB_TeamA1","TeamA1","TeamMB",8,31,1,"Bottom",3240,7764,6222,7815,4050,6549,7606,7511,4278,2973,1600,0,0
