"","game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1","1902_20_TeamME_TeamA2","TeamA2","TeamME",1,1,1,"Top",2293,2222,2526,2053,2207,1643,2808,1684,1802,8113,0,0,0
"2","1902_20_TeamME_TeamA2","TeamA2","TeamME",1,2,1,"Top",2293,2222,2526,2053,2207,1643,2808,1684,1802,8113,0,0,0
"3","1902_20_TeamME_TeamA2","TeamA2","TeamME",1,3,1,"Top",2293,2222,2526,2053,2207,1643,2808,1684,1802,8113,0,0,0
"4","1902_20_TeamME_TeamA2","TeamA2","TeamME",1,4,1,"Top",2293,2222,2526,2053,2207,1643,2808,1684,1802,8113,0,0,0
"5","1902_20_TeamME_TeamA2","TeamA2","TeamME",1,5,1,"Top",2293,2222,2526,2053,2207,1643,2808,1684,1802,8113,0,0,0
"6","1902_20_TeamME_TeamA2","TeamA2","TeamME",2,6,1,"Top",2293,2222,2526,2053,2207,1643,2808,1684,1802,5238,0,0,0
"7","1902_20_TeamME_TeamA2","TeamA2","TeamME",2,7,1,"Top",2293,2222,2526,2053,2207,1643,2808,1684,1802,5238,0,0,0
"8","1902_20_TeamME_TeamA2","TeamA2","TeamME",2,8,1,"Top",2293,2222,2526,2053,2207,1643,2808,1684,1802,5238,0,0,0
"9","1902_20_TeamME_TeamA2","TeamA2","TeamME",3,9,1,"Top",2293,2222,2526,2053,2207,1643,2808,1684,1802,3187,0,0,0
"10","1902_20_TeamME_TeamA2","TeamA2","TeamME",3,10,1,"Top",2293,2222,2526,2053,2207,1643,2808,1684,1802,3187,0,0,0
"11","1902_20_TeamME_TeamA2","TeamA2","TeamME",3,11,1,"Top",2293,2222,2526,2053,2207,1643,2808,1684,1802,3187,0,0,0
"12","1902_20_TeamME_TeamA2","TeamA2","TeamME",3,12,1,"Top",2293,2222,2526,2053,2207,1643,2808,1684,1802,3187,0,0,0
"13","1902_20_TeamME_TeamA2","TeamA2","TeamME",3,13,1,"Top",2293,2222,2526,2053,2207,1643,2808,1684,1802,3187,0,0,0
"14","1902_20_TeamME_TeamA2","TeamA2","TeamME",3,14,1,"Top",2293,2222,2526,2053,2207,1643,2808,1684,1802,3187,0,0,0
"15","1902_20_TeamME_TeamA2","TeamA2","TeamME",4,15,1,"Top",2293,2222,2526,2053,2207,1643,2808,1684,1802,4840,3187,0,0
