"","game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1","1902_28_TeamMC_TeamA1","TeamA1","TeamMC",1,1,1,"Top",1320,1389,2480,2137,1771,1181,1600,1177,2973,5222,0,0,0
"2","1902_28_TeamMC_TeamA1","TeamA1","TeamMC",2,2,1,"Top",1320,1389,2480,2137,1771,1181,1600,1177,2973,8445,0,0,0
"3","1902_28_TeamMC_TeamA1","TeamA1","TeamMC",2,3,1,"Top",1320,1389,2480,2137,1771,1181,1600,1177,2973,8445,0,0,0
"4","1902_28_TeamMC_TeamA1","TeamA1","TeamMC",3,4,1,"Top",1320,1389,2480,2137,1771,1181,1600,1177,2973,4646,8445,0,0
"5","1902_28_TeamMC_TeamA1","TeamA1","TeamMC",4,6,1,"Top",1320,1389,2480,2137,1771,1181,1600,1177,2973,6783,8445,0,0
"6","1902_28_TeamMC_TeamA1","TeamA1","TeamMC",5,7,1,"Top",1320,1389,2480,2137,1771,1181,1600,1177,2973,4275,6783,8445,0
"7","1902_28_TeamMC_TeamA1","TeamA1","TeamMC",5,8,1,"Top",1320,1389,2480,2137,1771,1181,1600,1177,2973,4275,6783,8445,0
"8","1902_28_TeamMC_TeamA1","TeamA1","TeamMC",5,9,1,"Top",1320,1389,2480,2137,1771,1181,1600,1177,2973,4275,6783,8445,0
"9","1902_28_TeamMC_TeamA1","TeamA1","TeamMC",6,10,1,"Bottom",9045,8445,8762,8328,4275,4711,9805,5222,4646,1181,0,0,0
"10","1902_28_TeamMC_TeamA1","TeamA1","TeamMC",6,11,1,"Bottom",9045,8445,8762,8328,4275,4711,9805,5222,4646,1181,0,0,0
"11","1902_28_TeamMC_TeamA1","TeamA1","TeamMC",6,12,1,"Bottom",9045,8445,8762,8328,4275,4711,9805,5222,4646,1181,0,0,0
"12","1902_28_TeamMC_TeamA1","TeamA1","TeamMC",6,13,1,"Bottom",9045,8445,8762,8328,4275,4711,9805,5222,4646,1181,0,0,0
"13","1902_28_TeamMC_TeamA1","TeamA1","TeamMC",6,14,1,"Bottom",9045,8445,8762,8328,4275,4711,9805,5222,4646,1181,0,0,0
"14","1902_28_TeamMC_TeamA1","TeamA1","TeamMC",6,15,1,"Bottom",9045,8445,8762,8328,4275,4711,9805,5222,4646,1181,0,0,0
