"","game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1","1902_29_TeamMF_TeamA2","TeamA2","TeamMF",1,1,1,"Top",2203,2222,2526,2053,2207,1643,2808,1751,1802,7115,0,0,0
"2","1902_29_TeamMF_TeamA2","TeamA2","TeamMF",1,2,1,"Top",2203,2222,2526,2053,2207,1643,2808,1751,1802,7115,0,0,0
"3","1902_29_TeamMF_TeamA2","TeamA2","TeamMF",2,3,1,"Top",2203,2222,2526,2053,2207,1643,2808,1751,1802,8183,7115,0,0
"4","1902_29_TeamMF_TeamA2","TeamA2","TeamMF",2,4,1,"Top",2203,2222,2526,2053,2207,1643,2808,1751,1802,8183,7115,0,0
"5","1902_29_TeamMF_TeamA2","TeamA2","TeamMF",2,5,1,"Top",2203,2222,2526,2053,2207,1643,2808,1751,1802,8183,7115,0,0
"6","1902_29_TeamMF_TeamA2","TeamA2","TeamMF",3,6,1,"Top",2203,2222,2526,2053,2207,1643,2808,1751,1802,9913,0,0,0
"7","1902_29_TeamMF_TeamA2","TeamA2","TeamMF",3,7,1,"Top",2203,2222,2526,2053,2207,1643,2808,1751,1802,9913,0,0,0
"8","1902_29_TeamMF_TeamA2","TeamA2","TeamMF",4,8,1,"Bottom",8858,9913,8183,8361,9673,3727,7115,4257,7749,1972,0,0,0
"9","1902_29_TeamMF_TeamA2","TeamA2","TeamMF",4,9,1,"Bottom",8858,9913,8183,8361,9673,3727,7115,4257,7749,1972,0,0,0
"10","1902_29_TeamMF_TeamA2","TeamA2","TeamMF",4,10,1,"Bottom",8858,9913,8183,8361,9673,3727,7115,4257,7749,1972,0,0,0
"11","1902_29_TeamMF_TeamA2","TeamA2","TeamMF",4,11,1,"Bottom",8858,9913,8183,8361,9673,3727,7115,4257,7749,1972,0,0,0
