"","game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",1,1,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,4474,0,0,0
"2","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",1,2,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,4474,0,0,0
"3","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",1,3,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,4474,0,0,0
"4","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",1,4,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,0,4474,0,0
"5","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",2,5,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,3790,4474,0,0
"6","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",2,6,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,3790,4474,0,0
"7","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",2,7,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,3790,4474,0,0
"8","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",2,8,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,3790,4474,0,0
"9","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",3,9,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,9762,3790,4474,0
"10","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",3,10,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,9762,3790,4474,0
"11","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",3,11,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,9762,3790,4474,0
"12","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",3,12,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,9762,3790,4474,0
"13","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",3,13,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,9762,3790,4474,0
"14","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",3,14,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,9762,3790,4474,0
"15","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",3,15,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,9762,3790,4474,0
"16","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",3,16,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,9762,3790,4474,0
"17","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",3,17,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,9762,3790,4474,0
"18","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",4,18,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,6803,0,3790,4474
"19","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",4,19,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,6803,0,3790,4474
"20","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",5,20,1,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,5616,0,3790,0
"21","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",6,21,1,"Bottom",4619,7071,6803,4306,5616,6000,3790,4474,7148,1751,0,0,0
"22","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",6,22,1,"Bottom",4619,7071,6803,4306,5616,6000,3790,4474,7148,1751,0,0,0
"23","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",6,23,1,"Bottom",4619,7071,6803,4306,5616,6000,3790,4474,7148,1751,0,0,0
"24","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",7,24,1,"Bottom",4619,7071,6803,4306,5616,6000,3790,4474,7148,2973,0,0,0
"25","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",7,25,1,"Bottom",4619,7071,6803,4306,5616,6000,3790,4474,7148,2973,0,0,0
"26","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",7,26,1,"Bottom",4619,7071,6803,4306,5616,6000,3790,4474,7148,2973,0,0,0
"27","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",7,27,1,"Bottom",4619,7071,6803,4306,5616,6000,3790,4474,7148,2973,0,0,0
"28","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",7,28,1,"Bottom",4619,7071,6803,4306,5616,6000,3790,4474,7148,2973,0,0,0
"29","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",8,29,1,"Bottom",4619,7071,6803,4306,5616,6000,3790,4474,7148,1557,0,0,0
"30","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",8,30,1,"Bottom",4619,7071,6803,4306,5616,6000,3790,4474,7148,1557,0,0,0
"31","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",8,31,1,"Bottom",4619,7071,6803,4306,5616,6000,3790,4474,7148,1557,0,0,0
"32","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",9,32,2,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,6000,0,0,0
"33","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",9,33,2,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,6000,0,0,0
"34","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",9,34,2,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,6000,0,0,0
"35","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",9,35,2,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,6000,0,0,0
"36","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",10,36,2,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,7071,6000,0,0
"37","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",10,38,2,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,7071,6000,0,0
"38","1903_02_TeamNE_TeamA2","TeamA2","TeamNE",11,40,2,"Top",1077,1240,2526,1557,1297,2148,2053,1177,1751,7148,0,0,0
