"","game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",1,1,1,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,4557,0,0,0
"2","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",1,2,1,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,4557,0,0,0
"3","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",1,3,1,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,4557,0,0,0
"4","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",1,4,1,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,4557,0,0,0
"5","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",2,5,1,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,3428,0,0,0
"6","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",2,6,1,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,3428,0,0,0
"7","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",3,7,1,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,6201,0,0,0
"8","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",3,8,1,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,6201,0,0,0
"9","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",3,9,1,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,6201,0,0,0
"10","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",4,10,1,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,2235,0,0,0
"11","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",4,11,1,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,2235,0,0,0
"12","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",4,12,1,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,2235,0,0,0
"13","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",5,13,1,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,2619,2235,0,0
"14","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",6,14,1,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,1144,0,2235,0
"15","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",6,15,1,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,1144,0,2235,0
"16","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",6,16,1,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,1144,0,2235,0
"17","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",7,17,1,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,2881,0,1144,0
"18","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",7,18,1,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,2881,0,1144,0
"19","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",7,19,1,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,2881,0,1144,0
"20","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",8,20,1,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,2029,0,0,1144
"21","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",8,21,1,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,2029,0,0,1144
"22","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",8,22,1,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,2029,0,0,1144
"23","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",8,23,1,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,2029,0,0,1144
"24","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",8,24,1,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,2029,0,0,1144
"25","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",8,25,1,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,2029,0,0,1144
"26","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",9,26,2,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,8861,0,0,0
"27","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",9,27,2,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,8861,0,0,0
"28","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",9,28,2,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,8861,0,0,0
"29","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",9,29,2,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,8861,0,0,0
"30","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",10,30,2,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,6266,0,0,0
"31","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",10,31,2,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,6266,0,0,0
"32","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",10,32,2,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,6266,0,0,0
"33","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",10,33,2,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,6266,0,0,0
"34","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",10,34,2,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,6266,0,0,0
"35","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",10,35,2,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,6266,0,0,0
"36","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",11,36,2,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,5410,0,0,0
"37","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",11,37,2,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,5410,0,0,0
"38","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",11,38,2,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,5410,0,0,0
"39","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",11,39,2,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,5410,0,0,0
"40","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",11,40,2,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,5410,0,0,0
"41","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",11,41,2,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,5410,0,0,0
"42","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",12,42,2,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,1080,0,0,0
"43","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",12,43,2,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,1080,0,0,0
"44","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",12,44,2,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,1080,0,0,0
"45","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",13,45,2,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,1124,0,0,0
"46","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",13,46,2,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,1124,0,0,0
"47","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",14,47,2,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,2488,1124,0,0
"48","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",14,48,2,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,2488,1124,0,0
"49","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",14,49,2,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,2488,1124,0,0
"50","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",14,50,2,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,2488,1124,0,0
"51","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",14,51,2,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,2488,1124,0,0
"52","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",14,53,2,"Bottom",9910,8861,6266,3033,6201,4557,3428,6878,7518,2488,1124,0,0
"53","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",15,54,3,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,3033,0,0,0
"54","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",15,55,3,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,3033,0,0,0
"55","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",16,56,3,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,6878,3033,0,0
"56","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",16,57,3,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,6878,3033,0,0
"57","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",16,58,3,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,6878,3033,0,0
"58","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",16,59,3,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,6878,3033,0,0
"59","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",16,60,3,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,6878,3033,0,0
"60","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",16,61,3,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,6878,3033,0,0
"61","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",16,62,3,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,6878,3033,0,0
"62","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",16,63,3,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,6878,3033,0,0
"63","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",17,64,3,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,7518,0,0,0
"64","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",17,65,3,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,7518,0,0,0
"65","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",17,66,3,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,7518,0,0,0
"66","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",17,67,3,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,7518,0,0,0
"67","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",17,68,3,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,7518,0,0,0
"68","1903_10_TeamNJ_TeamB","TeamB","TeamNJ",17,69,3,"Top",2595,2925,2488,2235,1080,1144,2029,2619,2881,7518,0,0,0
