"","game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",1,1,1,"Top",1840,2788,1784,2053,2382,1643,1617,2737,1802,9206,0,0,0
"2","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",1,2,1,"Top",1840,2788,1784,2053,2382,1643,1617,2737,1802,9206,0,0,0
"3","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",1,3,1,"Top",1840,2788,1784,2053,2382,1643,1617,2737,1802,9206,0,0,0
"4","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",2,4,1,"Top",1840,2788,1784,2053,2382,1643,1617,2737,1802,7359,0,0,0
"5","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",3,5,1,"Top",1840,2788,1784,2053,2382,1643,1617,2737,1802,9348,7359,0,0
"6","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",3,6,1,"Top",1840,2788,1784,2053,2382,1643,1617,2737,1802,9348,7359,0,0
"7","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",3,7,1,"Top",1840,2788,1784,2053,2382,1643,1617,2737,1802,9348,7359,0,0
"8","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",4,8,1,"Top",1840,2788,1784,2053,2382,1643,1617,2737,1802,4579,7359,0,0
"9","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",4,9,1,"Top",1840,2788,1784,2053,2382,1643,1617,2737,1802,4579,7359,0,0
"10","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",4,10,1,"Top",1840,2788,1784,2053,2382,1643,1617,2737,1802,4579,7359,0,0
"11","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",4,11,1,"Top",1840,2788,1784,2053,2382,1643,1617,2737,1802,4579,7359,0,0
"12","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",4,12,1,"Top",1840,2788,1784,2053,2382,1643,1617,2737,1802,4579,7359,0,0
"13","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",5,13,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,1643,0,0,0
"14","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",5,14,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,1643,0,0,0
"15","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",5,15,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,1643,0,0,0
"16","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",5,16,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,1643,0,0,0
"17","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",5,17,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,1643,0,0,0
"18","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",5,18,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,1643,0,0,0
"19","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",6,19,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,2737,0,0,0
"20","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",6,20,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,2737,0,0,0
"21","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",7,21,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,2053,2737,0,0
"22","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",7,22,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,2053,2737,0,0
"23","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",8,23,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,1802,0,2053,2737
"24","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",8,24,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,1802,0,2053,2737
"25","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",9,25,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,1784,0,1802,0
"26","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",9,26,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,1784,0,1802,0
"27","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",9,27,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,1784,0,1802,0
"28","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",9,28,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,1784,0,1802,0
"29","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",9,29,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,1784,0,1802,0
"30","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",10,30,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,1617,1784,0,1802
"31","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",10,31,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,1617,1784,0,1802
"32","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",10,32,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,1617,1784,0,1802
"33","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",11,33,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,2222,1784,0,1802
"34","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",11,34,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,2222,1784,0,1802
"35","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",11,35,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,2222,1784,0,1802
"36","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",11,36,1,"Bottom",5536,3306,8490,6234,4579,3247,7359,9206,7633,2222,1784,0,1802
"37","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",12,37,2,"Top",1840,2788,1784,2053,2382,1643,1617,2737,1802,8490,0,0,0
"38","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",12,38,2,"Top",1840,2788,1784,2053,2382,1643,1617,2737,1802,8490,0,0,0
"39","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",12,39,2,"Top",1840,2788,1784,2053,2382,1643,1617,2737,1802,8490,0,0,0
"40","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",12,40,2,"Top",1840,2788,1784,2053,2382,1643,1617,2737,1802,8490,0,0,0
"41","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",12,41,2,"Top",1840,2788,1784,2053,2382,1643,1617,2737,1802,8490,0,0,0
"42","1903_15_TeamNG_TeamA3","TeamA3","TeamNG",13,42,2,"Top",1840,2788,1784,2053,2382,1643,1617,2737,1802,7633,0,0,0
