"","game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",1,1,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,7870,0,0,0
"2","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",1,2,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,7870,0,0,0
"3","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",1,3,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,7870,0,0,0
"4","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",1,4,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,7870,0,0,0
"5","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",2,5,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,6697,7870,0,0
"6","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",3,6,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,3710,0,7870,0
"7","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",3,7,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,3710,0,7870,0
"8","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",3,8,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,3710,0,7870,0
"9","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",4,9,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,4704,0,7870,0
"10","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",4,10,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,4704,0,7870,0
"11","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",4,11,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,4704,0,7870,0
"12","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",4,12,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,4704,0,7870,0
"13","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",4,13,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,4704,0,7870,0
"14","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",4,14,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,4704,0,7870,0
"15","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",5,15,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,5865,0,4704,0
"16","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",5,16,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,5865,0,0,4704
"17","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",5,17,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,5865,0,0,4704
"18","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",6,18,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,3542,5865,0,0
"19","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",6,19,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,3542,5865,0,0
"20","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",6,20,1,"Top",2171,1240,1784,2053,1628,1643,1617,2737,1802,3542,5865,0,0
"21","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",7,21,1,"Bottom",9436,4436,3710,4704,9325,6697,7870,7293,5865,1628,0,0,0
"22","1903_18_TeamNI_TeamA3","TeamA3","TeamNI",7,22,1,"Bottom",9436,4436,3710,4704,9325,6697,7870,7293,5865,1628,0,0,0
