"","game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1","1903_19_TeamNL_TeamB","TeamB","TeamNL",1,1,1,"Top",2764,1279,2488,2804,1080,2235,1124,1144,2029,3236,0,0,0
"2","1903_19_TeamNL_TeamB","TeamB","TeamNL",1,2,1,"Top",2764,1279,2488,2804,1080,2235,1124,1144,2029,3236,0,0,0
"3","1903_19_TeamNL_TeamB","TeamB","TeamNL",2,3,1,"Top",2764,1279,2488,2804,1080,2235,1124,1144,2029,9880,3236,0,0
"4","1903_19_TeamNL_TeamB","TeamB","TeamNL",2,4,1,"Top",2764,1279,2488,2804,1080,2235,1124,1144,2029,9880,3236,0,0
"5","1903_19_TeamNL_TeamB","TeamB","TeamNL",2,5,1,"Top",2764,1279,2488,2804,1080,2235,1124,1144,2029,9880,3236,0,0
"6","1903_19_TeamNL_TeamB","TeamB","TeamNL",3,6,1,"Top",2764,1279,2488,2804,1080,2235,1124,1144,2029,5847,9880,3236,0
"7","1903_19_TeamNL_TeamB","TeamB","TeamNL",3,7,1,"Top",2764,1279,2488,2804,1080,2235,1124,1144,2029,5847,9880,3236,0
"8","1903_19_TeamNL_TeamB","TeamB","TeamNL",3,8,1,"Top",2764,1279,2488,2804,1080,2235,1124,1144,2029,5847,9880,3236,0
"9","1903_19_TeamNL_TeamB","TeamB","TeamNL",3,9,1,"Top",2764,1279,2488,2804,1080,2235,1124,1144,2029,5847,9880,3236,0
"10","1903_19_TeamNL_TeamB","TeamB","TeamNL",3,10,1,"Top",2764,1279,2488,2804,1080,2235,1124,1144,2029,5847,9880,3236,0
"11","1903_19_TeamNL_TeamB","TeamB","TeamNL",3,11,1,"Top",2764,1279,2488,2804,1080,2235,1124,1144,2029,5847,9880,3236,0
"12","1903_19_TeamNL_TeamB","TeamB","TeamNL",3,12,1,"Top",2764,1279,2488,2804,1080,2235,1124,1144,2029,5847,9880,3236,0
"13","1903_19_TeamNL_TeamB","TeamB","TeamNL",4,13,1,"Top",2764,1279,2488,2804,1080,2235,1124,1144,2029,6442,0,9880,3236
"14","1903_19_TeamNL_TeamB","TeamB","TeamNL",4,14,1,"Top",2764,1279,2488,2804,1080,2235,1124,1144,2029,6442,0,9880,3236
"15","1903_19_TeamNL_TeamB","TeamB","TeamNL",4,15,1,"Top",2764,1279,2488,2804,1080,2235,1124,1144,2029,6442,0,9880,3236
"16","1903_19_TeamNL_TeamB","TeamB","TeamNL",5,16,1,"Top",2764,1279,2488,2804,1080,2235,1124,1144,2029,5810,0,9880,3236
"17","1903_19_TeamNL_TeamB","TeamB","TeamNL",5,17,1,"Top",2764,1279,2488,2804,1080,2235,1124,1144,2029,5810,0,9880,3236
"18","1903_19_TeamNL_TeamB","TeamB","TeamNL",5,18,1,"Top",2764,1279,2488,2804,1080,2235,1124,1144,2029,5810,0,9880,3236
"19","1903_19_TeamNL_TeamB","TeamB","TeamNL",6,19,1,"Bottom",3582,5810,6442,9880,5847,3236,3283,9785,7916,1144,0,0,0
