"","game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",1,1,1,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,5478,0,0,0
"2","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",1,2,1,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,5478,0,0,0
"3","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",1,3,1,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,5478,0,0,0
"4","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",2,4,1,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,5851,0,0,0
"5","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",3,5,1,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,8977,0,0,0
"6","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",3,6,1,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,8977,0,0,0
"7","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",3,7,1,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,8977,0,0,0
"8","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",4,8,1,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,9609,8977,0,0
"9","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",5,9,1,"Bottom",8036,4977,8977,3579,9609,5478,3918,9159,5851,2919,0,0,0
"10","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",5,10,1,"Bottom",8036,4977,8977,3579,9609,5478,3918,9159,5851,2919,0,0,0
"11","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",6,11,1,"Bottom",8036,4977,8977,3579,9609,5478,3918,9159,5851,1928,0,0,0
"12","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",6,12,1,"Bottom",8036,4977,8977,3579,9609,5478,3918,9159,5851,1928,0,0,0
"13","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",6,13,1,"Bottom",8036,4977,8977,3579,9609,5478,3918,9159,5851,1928,0,0,0
"14","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",6,14,1,"Bottom",8036,4977,8977,3579,9609,5478,3918,9159,5851,1928,0,0,0
"15","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",6,15,1,"Bottom",8036,4977,8977,3579,9609,5478,3918,9159,5851,1928,0,0,0
"16","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",7,16,1,"Bottom",8036,4977,8977,3579,9609,5478,3918,9159,5851,1009,0,0,1928
"17","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",7,17,1,"Bottom",8036,4977,8977,3579,9609,5478,3918,9159,5851,1009,0,0,1928
"18","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",7,18,1,"Bottom",8036,4977,8977,3579,9609,5478,3918,9159,5851,1009,0,0,1928
"19","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",7,19,1,"Bottom",8036,4977,8977,3579,9609,5478,3918,9159,5851,1009,0,0,1928
"20","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",7,20,1,"Bottom",8036,4977,8977,3579,9609,5478,3918,9159,5851,1009,0,0,1928
"21","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",8,21,1,"Bottom",8036,4977,8977,3579,9609,5478,3918,9159,5851,2386,0,0,0
"22","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",8,22,1,"Bottom",8036,4977,8977,3579,9609,5478,3918,9159,5851,2386,0,0,0
"23","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",8,23,1,"Bottom",8036,4977,8977,3579,9609,5478,3918,9159,5851,2386,0,0,0
"24","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",9,24,1,"Bottom",8036,4977,8977,3579,9609,5478,3918,9159,5851,1945,0,0,0
"25","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",9,25,1,"Bottom",8036,4977,8977,3579,9609,5478,3918,9159,5851,1945,0,0,0
"26","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",9,26,1,"Bottom",8036,4977,8977,3579,9609,5478,3918,9159,5851,1945,0,0,0
"27","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",10,27,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,3579,0,0,0
"28","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",10,28,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,3579,0,0,0
"29","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",10,29,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,3579,0,0,0
"30","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",10,30,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,3579,0,0,0
"31","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",10,31,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,3579,0,0,0
"32","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",11,32,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,4977,0,3579,0
"33","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",12,33,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,9159,0,4977,0
"34","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",12,34,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,9159,0,4977,0
"35","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",12,35,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,9159,0,4977,0
"36","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",12,36,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,9159,0,4977,0
"37","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",12,37,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,9159,0,4977,0
"38","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",12,38,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,9159,0,4977,0
"39","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",13,39,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,3918,0,4977,0
"40","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",13,40,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,3918,0,4977,0
"41","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",13,41,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,3918,0,4977,0
"42","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",13,42,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,3918,0,4977,0
"43","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",14,43,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,5721,0,4977,0
"44","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",14,44,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,5721,0,4977,0
"45","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",14,45,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,5721,0,4977,0
"46","1903_24_TeamNA_TeamA1","TeamA1","TeamNA",14,46,2,"Top",2254,1945,1009,2919,2386,2148,1185,1725,1008,5721,0,4977,0
