"","game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1","1903_30_TeamNF_TeamA2","TeamA2","TeamNF",1,1,1,"Top",2293,2790,2526,1972,2382,1181,1751,1177,2837,6689,0,0,0
"2","1903_30_TeamNF_TeamA2","TeamA2","TeamNF",2,2,1,"Top",2293,2790,2526,1972,2382,1181,1751,1177,2837,3603,0,0,0
"3","1903_30_TeamNF_TeamA2","TeamA2","TeamNF",2,3,1,"Top",2293,2790,2526,1972,2382,1181,1751,1177,2837,3603,0,0,0
"4","1903_30_TeamNF_TeamA2","TeamA2","TeamNF",2,4,1,"Top",2293,2790,2526,1972,2382,1181,1751,1177,2837,3603,0,0,0
"5","1903_30_TeamNF_TeamA2","TeamA2","TeamNF",2,5,1,"Top",2293,2790,2526,1972,2382,1181,1751,1177,2837,3603,0,0,0
"6","1903_30_TeamNF_TeamA2","TeamA2","TeamNF",2,6,1,"Top",2293,2790,2526,1972,2382,1181,1751,1177,2837,3603,0,0,0
"7","1903_30_TeamNF_TeamA2","TeamA2","TeamNF",3,7,1,"Top",2293,2790,2526,1972,2382,1181,1751,1177,2837,7004,0,0,0
"8","1903_30_TeamNF_TeamA2","TeamA2","TeamNF",3,8,1,"Top",2293,2790,2526,1972,2382,1181,1751,1177,2837,7004,0,0,0
"9","1903_30_TeamNF_TeamA2","TeamA2","TeamNF",3,9,1,"Top",2293,2790,2526,1972,2382,1181,1751,1177,2837,7004,0,0,0
"10","1903_30_TeamNF_TeamA2","TeamA2","TeamNF",3,10,1,"Top",2293,2790,2526,1972,2382,1181,1751,1177,2837,7004,0,0,0
"11","1903_30_TeamNF_TeamA2","TeamA2","TeamNF",3,11,1,"Top",2293,2790,2526,1972,2382,1181,1751,1177,2837,7004,0,0,0
"12","1903_30_TeamNF_TeamA2","TeamA2","TeamNF",3,12,1,"Top",2293,2790,2526,1972,2382,1181,1751,1177,2837,7004,0,0,0
