"","game_str","home_team","away_team","at_bat","play_per_game","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner"
"1","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",1,1,1,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,3291,0,0,0
"2","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",2,2,1,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,8638,3291,0,0
"3","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",2,3,1,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,8638,3291,0,0
"4","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",3,4,1,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,6789,3291,0,0
"5","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",3,5,1,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,6789,3291,0,0
"6","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",3,6,1,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,6789,3291,0,0
"7","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",4,7,1,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,4794,3291,0,0
"8","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",4,9,1,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,4794,3291,0,0
"9","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",5,10,1,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,5291,0,0,0
"10","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",5,11,1,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,5291,0,0,0
"11","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",5,12,1,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,5291,0,0,0
"12","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",5,13,1,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,5291,0,0,0
"13","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",5,14,1,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,5291,0,0,0
"14","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",5,15,1,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,5291,0,0,0
"15","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",6,16,1,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,8079,5291,0,0
"16","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",6,17,1,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,8079,5291,0,0
"17","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",6,18,1,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,8079,5291,0,0
"18","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",7,19,1,"Bottom",5881,9185,4794,6189,8079,8787,8638,5291,3291,2766,0,0,0
"19","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",7,20,1,"Bottom",5881,9185,4794,6189,8079,8787,8638,5291,3291,2766,0,0,0
"20","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",8,21,1,"Bottom",5881,9185,4794,6189,8079,8787,8638,5291,3291,2386,2766,0,0
"21","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",8,22,1,"Bottom",5881,9185,4794,6189,8079,8787,8638,5291,3291,2386,2766,0,0
"22","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",8,23,1,"Bottom",5881,9185,4794,6189,8079,8787,8638,5291,3291,2386,2766,0,0
"23","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",8,24,1,"Bottom",5881,9185,4794,6189,8079,8787,8638,5291,3291,2386,2766,0,0
"24","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",8,25,1,"Bottom",5881,9185,4794,6189,8079,8787,8638,5291,3291,2386,2766,0,0
"25","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",8,26,1,"Bottom",5881,9185,4794,6189,8079,8787,8638,5291,3291,2386,0,0,0
"26","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",10,27,2,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,9185,0,0,0
"27","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",10,28,2,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,9185,0,0,0
"28","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",10,29,2,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,9185,0,0,0
"29","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",10,30,2,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,9185,0,0,0
"30","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",10,31,2,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,9185,0,0,0
"31","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",10,32,2,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,9185,0,0,0
"32","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",10,33,2,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,9185,0,0,0
"33","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",11,34,2,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,8787,0,0,0
"34","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",11,35,2,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,8787,0,0,0
"35","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",11,36,2,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,8787,0,0,0
"36","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",11,37,2,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,8787,0,0,0
"37","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",12,38,2,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,6189,0,0,0
"38","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",12,39,2,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,6189,0,0,0
"39","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",12,40,2,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,6189,0,0,0
"40","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",12,41,2,"Top",1999,1945,1286,2386,1771,2148,1973,2766,1008,6189,0,0,0
"41","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",13,42,2,"Bottom",5881,9185,4794,6189,8079,8787,8638,5291,3291,1185,0,0,0
"42","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",13,43,2,"Bottom",5881,9185,4794,6189,8079,8787,8638,5291,3291,1185,0,0,0
"43","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",13,44,2,"Bottom",5881,9185,4794,6189,8079,8787,8638,5291,3291,1185,0,0,0
"44","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",13,45,2,"Bottom",5881,9185,4794,6189,8079,8787,8638,5291,3291,1185,0,0,0
"45","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",14,46,2,"Bottom",5881,9185,4794,6189,8079,8787,8638,5291,3291,1945,1185,0,0
"46","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",14,47,2,"Bottom",5881,9185,4794,6189,8079,8787,8638,5291,3291,1945,1185,0,0
"47","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",15,48,2,"Bottom",5881,9185,4794,6189,8079,8787,8638,5291,3291,1286,0,1945,1185
"48","1903_31_TeamNB_TeamA1","TeamA1","TeamNB",15,49,2,"Bottom",5881,9185,4794,6189,8079,8787,8638,5291,3291,1286,0,1945,1185
