"game_str","play_per_game","top_bottom_inning","batter","first_baserunner","second_baserunner","third_baserunner"
"1900_05_TeamKK_TeamB",186,"Bottom",1041,2653,2196,0
"1900_05_TeamKK_TeamB",187,"Bottom",2488,1041,0,2653
"1900_05_TeamKK_TeamB",188,"Bottom",2488,1041,0,2653
"1900_05_TeamKK_TeamB",189,"Bottom",2488,1041,0,2653
"1900_05_TeamKK_TeamB",190,"Bottom",2488,1041,0,2653
"1900_05_TeamKK_TeamB",191,"Bottom",1543,1041,0,2653
"1900_05_TeamKK_TeamB",192,"Bottom",1543,1041,0,2653
"1900_05_TeamKK_TeamB",193,"Bottom",2061,1543,1041,0
"1900_05_TeamKK_TeamB",194,"Bottom",2061,1543,1041,0
"1900_05_TeamKK_TeamB",195,"Bottom",2061,1543,1041,0
"1900_05_TeamKK_TeamB",196,"Bottom",2061,1543,1041,0
"1900_05_TeamKK_TeamB",197,"Bottom",2061,1543,1041,0
"1900_05_TeamKK_TeamB",198,"Bottom",2061,1543,1041,0
"1900_05_TeamKK_TeamB",199,"Bottom",1450,2061,1543,1041
"1900_05_TeamKK_TeamB",200,"Bottom",1450,2061,1543,1041
"1900_05_TeamKK_TeamB",201,"Bottom",1450,2061,1543,1041
"1900_05_TeamKK_TeamB",202,"Bottom",2614,1450,2061,1543
"1900_05_TeamKK_TeamB",203,"Bottom",2614,1450,2061,1543
"1900_05_TeamKK_TeamB",204,"Bottom",2614,1450,2061,1543
"1900_05_TeamKK_TeamB",205,"Bottom",2614,1450,2061,1543
"1901_14_TeamLL_TeamB",7,"Top",7468,5417,0,0
"1901_14_TeamLL_TeamB",8,"Top",6082,0,5417,0
"1901_14_TeamLL_TeamB",9,"Top",6082,0,5417,0
"1901_14_TeamLL_TeamB",10,"Top",6082,0,5417,0
"1901_14_TeamLL_TeamB",11,"Top",6082,0,5417,0
"1901_14_TeamLL_TeamB",12,"Top",6082,0,5417,0
"1901_14_TeamLL_TeamB",13,"Top",6082,0,5417,0
"1901_14_TeamLL_TeamB",14,"Top",6158,0,5417,0
"1901_14_TeamLL_TeamB",15,"Top",6158,0,5417,0
"1901_14_TeamLL_TeamB",16,"Top",6158,0,5417,0
"1901_14_TeamLL_TeamB",17,"Top",6158,0,5417,0
"1902_06_TeamML_TeamB",100,"Bottom",1124,2646,0,0
"1902_06_TeamML_TeamB",101,"Bottom",1650,1124,2646,0
"1902_06_TeamML_TeamB",102,"Bottom",1650,1124,2646,0
"1902_06_TeamML_TeamB",103,"Bottom",1650,1124,2646,0
"1902_06_TeamML_TeamB",104,"Bottom",2183,1650,1124,2646
"1902_06_TeamML_TeamB",105,"Bottom",2183,1650,1124,2646
"1902_06_TeamML_TeamB",106,"Bottom",2925,0,2183,1650
"1902_06_TeamML_TeamB",107,"Bottom",2925,0,2183,1650
"1902_06_TeamML_TeamB",108,"Bottom",2925,0,2183,1650
"1902_06_TeamML_TeamB",109,"Bottom",2925,0,2183,1650
"1902_06_TeamML_TeamB",110,"Bottom",2925,0,2183,1650
"1902_06_TeamML_TeamB",111,"Bottom",1657,2925,0,2183
"1902_06_TeamML_TeamB",112,"Bottom",1657,2925,0,2183
"1902_06_TeamML_TeamB",113,"Bottom",1657,2925,0,2183
"1902_06_TeamML_TeamB",114,"Bottom",1657,2925,0,2183
"1902_06_TeamML_TeamB",115,"Bottom",1657,2925,0,2183
"1902_06_TeamML_TeamB",116,"Bottom",1657,0,2925,2183
"1902_06_TeamML_TeamB",117,"Bottom",1657,0,2925,2183
"1902_06_TeamML_TeamB",118,"Bottom",1657,0,2925,2183
"1902_06_TeamML_TeamB",119,"Bottom",1657,0,2925,2183
"1902_06_TeamML_TeamB",120,"Bottom",1657,0,2925,2183
"1902_06_TeamML_TeamB",121,"Bottom",1657,0,2925,2183
"1902_06_TeamML_TeamB",122,"Bottom",1607,0,2925,2183
"1902_06_TeamML_TeamB",123,"Bottom",1607,0,2925,2183
"1902_06_TeamML_TeamB",124,"Bottom",1607,0,2925,2183
"1902_08_TeamMJ_TeamB",183,"Top",8574,9087,0,0
"1902_08_TeamMJ_TeamB",184,"Top",3238,0,9087,0
"1902_08_TeamMJ_TeamB",185,"Top",3238,0,9087,0
"1902_08_TeamMJ_TeamB",186,"Top",3238,0,9087,0
"1902_08_TeamMJ_TeamB",187,"Top",3238,0,9087,0
"1902_08_TeamMJ_TeamB",188,"Top",8642,0,9087,0
"1902_08_TeamMJ_TeamB",189,"Top",8642,0,9087,0
"1902_08_TeamMJ_TeamB",190,"Top",8642,0,9087,0
"1902_08_TeamMJ_TeamB",191,"Top",8642,0,9087,0
"1902_08_TeamMJ_TeamB",192,"Top",8642,0,9087,0
"1902_08_TeamMJ_TeamB",193,"Top",8642,0,9087,0
"1902_18_TeamMB_TeamA1",63,"Bottom",1195,2137,1059,0
"1902_18_TeamMB_TeamA1",64,"Bottom",1181,0,2137,1059
"1902_18_TeamMB_TeamA1",65,"Bottom",1181,0,2137,1059
"1902_18_TeamMB_TeamA1",66,"Bottom",2255,1181,0,2137
"1902_18_TeamMB_TeamA1",67,"Bottom",2255,1181,0,2137
"1902_18_TeamMB_TeamA1",68,"Bottom",2255,1181,0,2137
"1902_18_TeamMB_TeamA1",69,"Bottom",2255,1181,0,2137
"1902_18_TeamMB_TeamA1",70,"Bottom",1600,2255,1181,0
"1902_18_TeamMB_TeamA1",71,"Bottom",1600,2255,1181,0
"1902_22_TeamMA_TeamA1",15,"Top",3041,6057,7038,0
"1902_22_TeamMA_TeamA1",16,"Top",7415,0,6057,7038
"1902_22_TeamMA_TeamA1",17,"Top",7415,0,6057,7038
"1902_22_TeamMA_TeamA1",18,"Top",7415,0,6057,7038
"1902_22_TeamMA_TeamA1",19,"Top",7415,0,6057,7038
"1902_22_TeamMA_TeamA1",20,"Top",3458,7415,6057,7038
"1902_22_TeamMA_TeamA1",21,"Top",3458,7415,6057,7038
"1902_22_TeamMA_TeamA1",22,"Top",3458,7415,6057,7038
"1902_22_TeamMA_TeamA1",23,"Top",3458,7415,6057,7038
"1902_24_TeamMA_TeamA1",5,"Top",6057,7038,0,0
"1902_24_TeamMA_TeamA1",6,"Top",3041,0,7038,0
"1902_24_TeamMA_TeamA1",7,"Top",3041,0,7038,0
"1902_24_TeamMA_TeamA1",8,"Top",3041,0,7038,0
"1902_24_TeamMA_TeamA1",9,"Top",3041,0,7038,0
"1902_24_TeamMA_TeamA1",10,"Top",3041,0,7038,0
"1902_24_TeamMA_TeamA1",11,"Top",7415,0,7038,0
"1902_24_TeamMA_TeamA1",12,"Top",7415,0,7038,0
"1902_24_TeamMA_TeamA1",13,"Top",7415,0,7038,0
"1902_24_TeamMA_TeamA1",14,"Top",7415,0,7038,0
"1902_25_TeamMH_TeamA3",50,"Bottom",2236,1538,0,0
"1902_25_TeamMH_TeamA3",51,"Bottom",2163,0,2236,1538
"1902_25_TeamMH_TeamA3",52,"Bottom",2163,0,2236,1538
"1902_25_TeamMH_TeamA3",53,"Bottom",2163,0,2236,1538
"1902_25_TeamMH_TeamA3",54,"Bottom",2163,0,2236,1538
"1902_25_TeamMH_TeamA3",55,"Bottom",2141,0,2236,1538
"1902_25_TeamMH_TeamA3",56,"Bottom",2141,0,2236,1538
"1902_25_TeamMH_TeamA3",57,"Bottom",2141,0,2236,1538
"1902_25_TeamMH_TeamA3",58,"Bottom",2141,0,2236,1538
"1902_25_TeamMH_TeamA3",59,"Bottom",1628,0,2236,1538
"1902_25_TeamMH_TeamA3",60,"Bottom",1628,0,2236,1538
"1902_25_TeamMH_TeamA3",61,"Bottom",1628,0,2236,1538
"1902_25_TeamMH_TeamA3",62,"Bottom",1628,0,2236,1538
"1902_28_TeamMC_TeamA1",37,"Top",5222,4711,8762,0
"1902_28_TeamMC_TeamA1",38,"Top",8445,0,5222,0
"1902_28_TeamMC_TeamA1",39,"Top",8445,0,5222,0
"1903_04_TeamNC_TeamA1",3,"Top",3129,5654,0,0
"1903_04_TeamNC_TeamA1",4,"Top",6063,0,5654,0
"1903_04_TeamNC_TeamA1",5,"Top",6063,0,5654,0
"1903_04_TeamNC_TeamA1",6,"Top",6063,0,5654,0
