"games","score"
"1900_05_TeamKK_TeamB",2
"1901_14_TeamLL_TeamB",0
"1902_06_TeamML_TeamB",1
"1902_08_TeamMJ_TeamB",0
"1902_18_TeamMB_TeamA1",2
"1902_22_TeamMA_TeamA1",0
"1902_24_TeamMA_TeamA1",0
"1902_25_TeamMH_TeamA3",0
"1902_28_TeamMC_TeamA1",2
"1903_04_TeamNC_TeamA1",0
"1903_07_TeamND_TeamA2",2
"1903_08_TeamNJ_TeamB",1
"1903_08_TeamNJ_TeamB",1
"1903_09_TeamNJ_TeamB",0
"1903_16_TeamNI_TeamA3",1
"1903_22_TeamNA_TeamA1",0
"1903_25_TeamNK_TeamB",1
"1903_28_TeamNF_TeamA2",1
"1903_29_TeamNF_TeamA2",1
"1903_30_TeamNB_TeamA1",0
"1903_30_TeamNF_TeamA2",1
"1903_30_TeamNF_TeamA2",1
